,DamId,DamName,MaxCapacityML,Latitude,Longitude
0,1,WEMMERSHOEK,58634.6912,-33.826246,19.091828
1,2,STEENBRAS LOWER,33497.86629,-34.180527,18.866688
2,3,STEENBRAS UPPER,31783.61345,-34.166702,18.90976
3,4,VOELVLEI,164153.4392,-33.34178,19.04105
4,5,HELY-HUTCHINSON,924.8484848,-33.976929,18.409568
5,6,WOODHEAD,955.0128535,-33.977341,18.404046
6,7,VICTORIA,134.6153846,-33.985559,18.406104
7,8,ALEXANDRA,134.4086022,-33.98804,18.411602
8,9,DE VILLIERS,242.4242424,-33.992584,18.411166
9,10,KLEINPLAATS,1300.691244,-34.171941,18.386781
10,11,LEWIS GAY,168.4981685,-34.167448,18.395853
11,12,THEEWATERSKLOOF,479992.9825,-34.07591,19.29189
12,13,BERG RIVER,130016.835,-33.926244,19.061823
