,Date,DamId,HeightM,StorageML
0,2012-01-01,1,48.2,44621.0
1,2012-01-01,2,20.3,23549.0
2,2012-01-01,3,24.2,29620.0
3,2012-01-01,4,15.0,124100.0
4,2012-01-01,5,14.2,763.0
5,2012-01-01,6,35.3,743.0
6,2012-01-01,7,0.0,0.0
7,2012-01-01,8,10.6,100.0
8,2012-01-01,9,26.3,197.0
9,2012-01-01,10,6.2,337.0
10,2012-01-01,11,13.9,128.0
11,2012-01-01,12,24.8,357963.0
12,2012-01-01,13,39.3,115930.0
13,2012-01-02,1,48.2,44571.0
14,2012-01-02,2,20.3,23460.0
15,2012-01-02,3,24.2,29620.0
16,2012-01-02,4,15.0,123812.0
17,2012-01-02,5,14.2,763.0
18,2012-01-02,6,35.3,743.0
19,2012-01-02,7,0.0,0.0
20,2012-01-02,8,10.6,99.0
21,2012-01-02,9,26.3,197.0
22,2012-01-02,10,6.2,337.0
23,2012-01-02,11,13.9,128.0
24,2012-01-02,12,24.8,356677.0
25,2012-01-02,13,39.1,114850.0
26,2012-01-03,1,48.2,44471.0
27,2012-01-03,2,20.3,23372.0
28,2012-01-03,3,24.2,29570.0
29,2012-01-03,4,14.9,123237.0
30,2012-01-03,5,14.2,773.0
31,2012-01-03,6,35.3,745.0
32,2012-01-03,7,0.0,0.0
33,2012-01-03,8,10.6,99.0
34,2012-01-03,9,26.3,197.0
35,2012-01-03,10,6.2,337.0
36,2012-01-03,11,13.9,128.0
37,2012-01-03,12,24.8,355394.0
38,2012-01-03,13,39.0,114280.0
39,2012-01-04,1,48.1,44372.0
40,2012-01-04,2,20.3,23313.0
41,2012-01-04,3,24.2,29620.0
42,2012-01-04,4,14.9,122520.0
43,2012-01-04,5,14.4,794.0
44,2012-01-04,6,35.4,750.0
45,2012-01-04,7,0.0,0.0
46,2012-01-04,8,10.6,99.0
47,2012-01-04,9,26.3,198.0
48,2012-01-04,10,6.1,334.0
49,2012-01-04,11,13.9,128.0
50,2012-01-04,12,24.7,353687.0
51,2012-01-04,13,38.9,113770.0
52,2012-01-05,1,48.1,44322.0
53,2012-01-05,2,20.2,23224.0
54,2012-01-05,3,24.1,29317.0
55,2012-01-05,4,14.8,121947.0
56,2012-01-05,5,14.4,797.0
57,2012-01-05,6,35.4,750.0
58,2012-01-05,7,0.0,0.0
59,2012-01-05,8,10.6,99.0
60,2012-01-05,9,26.3,198.0
61,2012-01-05,10,6.1,331.0
62,2012-01-05,11,13.9,128.0
63,2012-01-05,12,24.7,351135.0
64,2012-01-05,13,38.8,113410.0
65,2012-01-06,1,48.1,44221.0
66,2012-01-06,2,20.2,23136.0
67,2012-01-06,3,24.1,29545.0
68,2012-01-06,4,14.8,121374.0
69,2012-01-06,5,14.4,798.0
70,2012-01-06,6,35.2,738.0
71,2012-01-06,7,0.0,0.0
72,2012-01-06,8,10.6,99.0
73,2012-01-06,9,26.4,199.0
74,2012-01-06,10,6.1,331.0
75,2012-01-06,11,13.9,128.0
76,2012-01-06,12,24.6,349863.0
77,2012-01-06,13,38.8,113100.0
78,2012-01-07,1,48.0,44074.0
79,2012-01-07,2,20.2,23047.0
80,2012-01-07,3,24.1,29495.0
81,2012-01-07,4,14.8,121232.0
82,2012-01-07,5,14.4,801.0
83,2012-01-07,6,35.1,728.0
84,2012-01-07,7,0.0,0.0
85,2012-01-07,8,10.6,98.0
86,2012-01-07,9,26.4,199.0
87,2012-01-07,10,6.1,331.0
88,2012-01-07,11,13.9,128.0
89,2012-01-07,12,24.6,348594.0
90,2012-01-07,13,38.8,113100.0
91,2012-01-08,1,48.0,43973.0
92,2012-01-08,2,20.2,23047.0
93,2012-01-08,3,24.0,29242.0
94,2012-01-08,4,14.8,121232.0
95,2012-01-08,5,14.4,801.0
96,2012-01-08,6,35.0,717.0
97,2012-01-08,7,0.0,0.0
98,2012-01-08,8,10.5,97.0
99,2012-01-08,9,26.4,198.0
100,2012-01-08,10,6.1,331.0
101,2012-01-08,11,13.9,128.0
102,2012-01-08,12,24.6,347327.0
103,2012-01-08,13,38.8,113100.0
104,2012-01-09,1,47.9,43826.0
105,2012-01-09,2,20.2,22988.0
106,2012-01-09,3,24.2,29646.0
107,2012-01-09,4,14.7,120233.0
108,2012-01-09,5,14.4,801.0
109,2012-01-09,6,34.8,704.0
110,2012-01-09,7,0.0,0.0
111,2012-01-09,8,10.5,97.0
112,2012-01-09,9,26.3,198.0
113,2012-01-09,10,6.1,328.0
114,2012-01-09,11,13.9,127.0
115,2012-01-09,12,24.5,345643.0
116,2012-01-09,13,38.8,113100.0
117,2012-01-10,1,47.9,43752.0
118,2012-01-10,2,20.1,22900.0
119,2012-01-10,3,24.2,29595.0
120,2012-01-10,4,14.7,119805.0
121,2012-01-10,5,14.4,802.0
122,2012-01-10,6,34.7,692.0
123,2012-01-10,7,0.0,0.0
124,2012-01-10,8,10.5,96.0
125,2012-01-10,9,26.4,198.0
126,2012-01-10,10,6.1,326.0
127,2012-01-10,11,13.9,127.0
128,2012-01-10,12,24.5,343963.0
129,2012-01-10,13,38.5,111780.0
130,2012-01-11,1,47.8,43654.0
131,2012-01-11,2,20.1,22870.0
132,2012-01-11,3,24.2,29595.0
133,2012-01-11,4,14.6,117960.0
134,2012-01-11,5,14.5,804.0
135,2012-01-11,6,34.5,678.0
136,2012-01-11,7,0.0,0.0
137,2012-01-11,8,10.5,95.0
138,2012-01-11,9,26.4,199.0
139,2012-01-11,10,6.1,326.0
140,2012-01-11,11,13.9,127.0
141,2012-01-11,12,24.5,342706.0
142,2012-01-11,13,38.4,111370.0
143,2012-01-12,1,47.8,43605.0
144,2012-01-12,2,20.1,22812.0
145,2012-01-12,3,24.3,30003.0
146,2012-01-12,4,14.6,119094.0
147,2012-01-12,5,14.5,804.0
148,2012-01-12,6,34.4,667.0
149,2012-01-12,7,0.0,0.0
150,2012-01-12,8,10.4,95.0
151,2012-01-12,9,26.4,199.0
152,2012-01-12,10,6.0,324.0
153,2012-01-12,11,13.8,125.0
154,2012-01-12,12,24.4,341452.0
155,2012-01-12,13,37.4,111370.0
156,2012-01-13,1,47.8,43483.0
157,2012-01-13,2,20.1,22725.0
158,2012-01-13,3,24.2,29773.0
159,2012-01-13,4,14.6,118527.0
160,2012-01-13,5,14.5,804.0
161,2012-01-13,6,34.2,654.0
162,2012-01-13,7,0.0,0.0
163,2012-01-13,8,10.4,94.0
164,2012-01-13,9,26.4,198.0
165,2012-01-13,10,6.0,321.0
166,2012-01-13,11,13.8,125.0
167,2012-01-13,12,24.4,340617.0
168,2012-01-13,13,38.3,110570.0
169,2012-01-14,1,47.7,43409.0
170,2012-01-14,2,20.0,22667.0
171,2012-01-14,3,24.4,30182.0
172,2012-01-14,4,14.6,117818.0
173,2012-01-14,5,14.4,802.0
174,2012-01-14,6,34.0,642.0
175,2012-01-14,7,0.0,0.0
176,2012-01-14,8,10.4,94.0
177,2012-01-14,9,26.3,198.0
178,2012-01-14,10,6.0,320.0
179,2012-01-14,11,13.7,124.0
180,2012-01-14,12,24.4,338951.0
181,2012-01-14,13,38.3,110570.0
182,2012-01-15,1,47.7,43336.0
183,2012-01-15,2,20.0,22552.0
184,2012-01-15,3,24.4,30156.0
