,UrbanUseML,AgriculturalUseML,Date
0,1017.0,970.0,2008-01-01
1,1086.0,911.0,2008-02-01
2,1052.0,753.0,2008-03-01
3,1002.0,415.0,2008-04-01
4,874.0,47.0,2008-05-01
5,758.0,24.0,2008-06-01
6,783.0,23.0,2008-07-01
7,792.0,23.0,2008-08-01
8,783.0,24.0,2008-09-01
9,867.0,116.0,2008-10-01
10,931.0,251.0,2008-11-01
11,1024.0,764.0,2008-12-01
12,1027.0,890.0,2009-01-01
13,1165.0,932.0,2009-02-01
14,1125.0,771.0,2009-03-01
15,1005.0,425.0,2009-04-01
16,862.0,48.0,2009-05-01
17,838.0,24.0,2009-06-01
18,837.0,23.0,2009-07-01
19,862.0,23.0,2009-08-01
20,868.0,24.0,2009-09-01
21,892.0,119.0,2009-10-01
22,1035.0,243.0,2009-11-01
23,1095.0,653.0,2009-12-01
24,1148.0,862.0,2010-01-01
25,1130.0,903.0,2010-02-01
26,1108.0,746.0,2010-03-01
27,961.0,412.0,2010-04-01
28,894.0,46.0,2010-05-01
29,806.0,23.0,2010-06-01
30,771.0,22.0,2010-07-01
31,793.0,22.0,2010-08-01
32,819.0,23.0,2010-09-01
33,917.0,115.0,2010-10-01
34,955.0,341.0,2010-11-01
35,1101.0,914.0,2010-12-01
36,1150.0,1206.0,2011-01-01
37,1148.0,1263.0,2011-02-01
38,1139.0,1044.0,2011-03-01
39,1015.0,576.0,2011-04-01
40,844.0,65.0,2011-05-01
41,849.0,33.0,2011-06-01
42,784.0,32.0,2011-07-01
43,800.0,32.0,2011-08-01
44,807.0,33.0,2011-09-01
45,892.0,161.0,2011-10-01
46,967.0,276.0,2011-11-01
47,1042.0,740.0,2011-12-01
48,1093.0,976.0,2012-01-01
49,1176.0,1023.0,2012-02-01
50,1119.0,846.0,2012-03-01
51,991.0,466.0,2012-04-01
52,873.0,52.0,2012-05-01
53,793.0,26.0,2012-06-01
54,757.0,25.0,2012-07-01
55,763.0,25.0,2012-08-01
56,791.0,26.0,2012-09-01
57,859.0,130.0,2012-10-01
58,941.0,299.0,2012-11-01
59,1052.0,802.0,2012-12-01
60,1131.0,1059.0,2013-01-01
61,1123.0,1109.0,2013-02-01
62,1059.0,917.0,2013-03-01
63,938.0,506.0,2013-04-01
64,857.0,57.0,2013-05-01
65,809.0,29.0,2013-06-01
66,790.0,28.0,2013-07-01
67,757.0,28.0,2013-08-01
68,745.0,29.0,2013-09-01
69,826.0,141.0,2013-10-01
70,920.0,278.0,2013-11-01
71,973.0,747.0,2013-12-01
72,1061.0,986.0,2014-01-01
73,1163.0,1032.0,2014-02-01
74,1064.0,853.0,2014-03-01
75,964.0,471.0,2014-04-01
76,878.0,53.0,2014-05-01
77,741.0,27.0,2014-06-01
78,730.0,26.0,2014-07-01
79,755.0,26.0,2014-08-01
80,809.0,27.0,2014-09-01
81,917.0,132.0,2014-10-01
82,1002.0,343.0,2014-11-01
83,1168.0,919.0,2014-12-01
84,1214.0,1213.0,2015-01-01
85,1237.0,1270.0,2015-02-01
86,1215.0,1050.0,2015-03-01
87,1123.0,579.0,2015-04-01
88,988.0,65.0,2015-05-01
89,911.0,33.0,2015-06-01
90,890.0,32.0,2015-07-01
91,899.0,32.0,2015-08-01
92,924.0,33.0,2015-09-01
93,1032.0,162.0,2015-10-01
94,1083.0,359.0,2015-11-01
95,1168.0,919.0,2015-12-01
96,1106.0,1272.0,2016-01-01
97,1053.0,1332.0,2016-02-01
98,985.0,1101.0,2016-03-01
99,882.0,608.0,2016-04-01
100,831.0,68.0,2016-05-01
101,777.0,35.0,2016-06-01
102,757.0,33.0,2016-07-01
103,837.0,33.0,2016-08-01
104,856.0,35.0,2016-09-01
105,915.0,170.0,2016-10-01
106,939.0,319.0,2016-11-01
107,927.0,855.0,2016-12-01
108,919.0,1129.0,2017-01-01
109,875.0,1182.0,2017-02-01
110,818.0,977.0,2017-03-01
111,777.0,539.0,2017-04-01
112,749.0,61.0,2017-05-01
113,680.0,31.0,2017-06-01
114,674.0,30.0,2017-07-01
115,663.0,30.0,2017-08-01
116,657.0,31.0,2017-09-01
117,643.0,151.0,2017-10-01
118,645.0,320.0,2017-11-01
119,660.0,855.0,2017-12-01
120,638.0,1100.0,2018-01-01
121,571.0,0.0,2018-02-01
122,571.0,0.0,2018-03-01
123,555.0,0.0,2018-04-01
124,563.0,0.0,2018-05-01
125,556.0,0.0,2018-06-01
126,527.0,0.0,2018-07-01
127,540.0,0.0,2018-08-01
128,520.0,0.0,2018-09-01
129,564.0,0.0,2018-10-01
