Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,54211.0,55438.0,56225.0,56695.0,57032.0,57360.0,57715.0,58055.0,58386.0,58726.0,59063.0,59440.0,59840.0,60243.0,60528.0,60657.0,60586.0,60366.0,60103.0,59980.0,60096.0,60567.0,61345.0,62201.0,62836.0,63026.0,62644.0,61833.0,61079.0,61032.0,62149.0,64622.0,68235.0,72504.0,76700.0,80324.0,83200.0,85451.0,87277.0,89005.0,90853.0,92898.0,94992.0,97017.0,98737.0,100031.0,100832.0,101220.0,101353.0,101453.0,101669.0,102053.0,102577.0,103187.0,103795.0,104341.0,104822.0,105264.0
AFG,8996351.0,9166764.0,9345868.0,9533954.0,9731361.0,9938414.0,10152331.0,10372630.0,10604346.0,10854428.0,11126123.0,11417825.0,11721940.0,12027822.0,12321541.0,12590286.0,12840299.0,13067538.0,13237734.0,13306695.0,13248370.0,13053954.0,12749645.0,12389269.0,12047115.0,11783050.0,11601041.0,11502761.0,11540888.0,11777609.0,12249114.0,12993657.0,13981231.0,15095099.0,16172719.0,17099541.0,17822884.0,18381605.0,18863999.0,19403676.0,20093756.0,20966463.0,21979923.0,23064851.0,24118979.0,25070798.0,25893450.0,26616792.0,27294031.0,28004331.0,28803167.0,29708599.0,30696958.0,31731688.0,32758020.0,33736494.0,34656032.0,35530081.0
AGO,5643182.0,5753024.0,5866061.0,5980417.0,6093321.0,6203299.0,6309770.0,6414995.0,6523791.0,6642632.0,6776381.0,6927269.0,7094834.0,7277960.0,7474338.0,7682479.0,7900997.0,8130988.0,8376147.0,8641521.0,8929900.0,9244507.0,9582156.0,9931562.0,10277321.0,10609042.0,10921037.0,11218268.0,11513968.0,11827237.0,12171441.0,12553446.0,12968345.0,13403734.0,13841301.0,14268994.0,14682284.0,15088981.0,15504318.0,15949766.0,16440924.0,16983266.0,17572649.0,18203369.0,18865716.0,19552542.0,20262399.0,20997687.0,21759420.0,22549547.0,23369131.0,24218565.0,25096150.0,25998340.0,26920466.0,27859305.0,28813463.0,29784193.0
ALB,1608800.0,1659800.0,1711319.0,1762621.0,1814135.0,1864791.0,1914573.0,1965598.0,2022272.0,2081695.0,2135479.0,2187853.0,2243126.0,2296752.0,2350124.0,2404831.0,2458526.0,2513546.0,2566266.0,2617832.0,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0
AND,13411.0,14375.0,15370.0,16412.0,17469.0,18549.0,19647.0,20758.0,21890.0,23058.0,24276.0,25559.0,26892.0,28232.0,29520.0,30705.0,31777.0,32771.0,33737.0,34818.0,36067.0,37500.0,39114.0,40867.0,42706.0,44600.0,46517.0,48455.0,50434.0,52448.0,54509.0,56671.0,58888.0,60971.0,62677.0,63850.0,64360.0,64327.0,64142.0,64370.0,65390.0,67341.0,70049.0,73182.0,76244.0,78867.0,80991.0,82683.0,83861.0,84462.0,84449.0,83751.0,82431.0,80788.0,79223.0,78014.0,77281.0,76965.0
ARE,92634.0,101078.0,112472.0,125566.0,138529.0,150362.0,160481.0,170283.0,183194.0,203820.0,235499.0,278808.0,332760.0,397174.0,471364.0,554324.0,646943.0,748117.0,852262.0,952040.0,1042384.0,1120900.0,1189545.0,1253060.0,1318478.0,1391052.0,1472218.0,1560718.0,1655849.0,1756043.0,1860174.0,1970026.0,2086639.0,2207405.0,2328686.0,2448820.0,2571020.0,2700010.0,2838145.0,2988162.0,3154925.0,3326032.0,3507232.0,3741932.0,4087931.0,4579562.0,5242032.0,6044067.0,6894278.0,7666393.0,8270684.0,8672475.0,8900453.0,9006263.0,9070867.0,9154302.0,9269612.0,9400145.0
ARG,20619075.0,20953077.0,21287682.0,21621840.0,21953929.0,22283390.0,22608748.0,22932203.0,23261278.0,23605987.0,23973058.0,24366439.0,24782949.0,25213388.0,25644506.0,26066975.0,26477152.0,26878565.0,27277741.0,27684534.0,28105888.0,28543364.0,28993987.0,29454738.0,29920904.0,30388783.0,30857244.0,31326473.0,31795517.0,32263561.0,32729739.0,33193918.0,33655151.0,34110917.0,34558115.0,34994814.0,35419682.0,35833969.0,36241590.0,36648068.0,37057452.0,37471509.0,37889370.0,38309379.0,38728696.0,39145488.0,39558890.0,39970224.0,40382389.0,40799407.0,41223889.0,41656879.0,42096739.0,42539925.0,42981515.0,43417765.0,43847430.0,44271041.0
ARM,1874120.0,1941491.0,2009526.0,2077575.0,2144998.0,2211316.0,2276031.0,2339124.0,2401140.0,2462925.0,2525065.0,2587706.0,2650484.0,2712781.0,2773747.0,2832757.0,2889579.0,2944379.0,2997411.0,3049105.0,3099751.0,3148092.0,3193686.0,3238594.0,3285595.0,3335935.0,3392256.0,3451942.0,3504651.0,3536469.0,3538165.0,3505251.0,3442810.0,3363098.0,3283660.0,3217342.0,3168215.0,3133086.0,3108684.0,3089017.0,3069588.0,3050655.0,3033897.0,3017806.0,3000612.0,2981259.0,2958500.0,2933056.0,2908220.0,2888584.0,2877311.0,2875581.0,2881922.0,2893509.0,2906220.0,2916950.0,2924816.0,2930450.0
ASM,20013.0,20486.0,21117.0,21882.0,22698.0,23520.0,24321.0,25116.0,25885.0,26614.0,27292.0,27916.0,28492.0,29014.0,29488.0,29932.0,30321.0,30689.0,31102.0,31673.0,32457.0,33493.0,34738.0,36160.0,37688.0,39241.0,40837.0,42450.0,44047.0,45593.0,47038.0,48375.0,49593.0,50720.0,51803.0,52868.0,53929.0,54941.0,55901.0,56770.0,57521.0,58175.0,58731.0,59117.0,59264.0,59118.0,58650.0,57903.0,57030.0,56227.0,55637.0,55320.0,55230.0,55307.0,55437.0,55537.0,55599.0,55641.0
ATG,55339.0,56144.0,57144.0,58294.0,59524.0,60781.0,62059.0,63360.0,64655.0,65910.0,67098.0,68188.0,69176.0,70066.0,70878.0,71609.0,72285.0,72875.0,73324.0,73528.0,73442.0,73066.0,72448.0,71639.0,70725.0,69782.0,68809.0,67845.0,67058.0,66627.0,66696.0,67307.0,68427.0,69938.0,71719.0,73619.0,75628.0,77739.0,79851.0,81831.0,83584.0,85057.0,86266.0,87293.0,88257.0,89253.0,90301.0,91381.0,92478.0,93581.0,94661.0,95719.0,96777.0,97824.0,98875.0,99923.0,100963.0,102012.0
