name,region
Afghanistan,South Asia
Albania,Europe & Central Asia
Algeria,Middle East & North Africa
American Samoa,East Asia & Pacific
Andorra,Europe & Central Asia
Angola,Sub-Saharan Africa
Anguilla,Latin America & Caribbean
Antigua and Barbuda,Latin America & Caribbean
Argentina,Latin America & Caribbean
Armenia,Europe & Central Asia
Aruba,Latin America & Caribbean
Australia,East Asia & Pacific
Austria,Europe & Central Asia
Azerbaijan,Europe & Central Asia
Bahamas,Latin America & Caribbean
Bahrain,Europe & Central Asia
Bangladesh,South Asia
Barbados,Latin America & Caribbean
Belarus,Europe & Central Asia
Belgium,Europe & Central Asia
Belize,Latin America & Caribbean
Benin,Sub-Saharan Africa
Bermuda,North America
Bhutan,South Asia
Bolivia (Plurinational State of),Latin America & Caribbean
Bosnia and Herzegovina,Europe & Central Asia
Botswana,Sub-Saharan Africa
Brazil,Latin America & Caribbean
British Virgin Islands,Latin America & Caribbean
Brunei Darussalam,East Asia & Pacific
Bulgaria,Europe & Central Asia
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cabo Verde,Sub-Saharan Africa
Cambodia,East Asia & Pacific
Cameroon,Sub-Saharan Africa
Canada,North America
Cayman Islands,Latin America & Caribbean
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Channel Islands,Europe & Central Asia
Chile,Latin America & Caribbean
China,East Asia & Pacific
"China, Hong Kong SAR",East Asia & Pacific
"China, Macao SAR",East Asia & Pacific
Colombia,Latin America & Caribbean
Comoros,Sub-Saharan Africa
Congo,Sub-Saharan Africa
Cook Islands,East Asia & Pacific
Costa Rica,Latin America & Caribbean
Côte d'Ivoire,Sub-Saharan Africa
Croatia,Europe & Central Asia
Cuba,Latin America & Caribbean
Curaçao,Latin America & Caribbean
Cyprus,Europe & Central Asia
Czech Republic,Europe & Central Asia
Democratic People's Republic of Korea,East Asia & Pacific
Democratic Republic of the Congo,Sub-Saharan Africa
Denmark,Europe & Central Asia
Djibouti,Sub-Saharan Africa
Dominica,Latin America & Caribbean
Dominican Republic,Latin America & Caribbean
Ecuador,Latin America & Caribbean
Egypt,Middle East & North Africa
El Salvador,Latin America & Caribbean
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,Europe & Central Asia
Eswatini,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Faeroe Islands,Europe & Central Asia
Falkland Islands (Malvinas),Latin America & Caribbean
Fiji,East Asia & Pacific
Finland,Europe & Central Asia
France,Europe & Central Asia
French Guiana,Latin America & Caribbean
French Polynesia,East Asia & Pacific
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Georgia,Europe & Central Asia
Germany,Europe & Central Asia
Ghana,Sub-Saharan Africa
Gibraltar,Europe & Central Asia
Greece,Europe & Central Asia
Greenland,North America
Grenada,Latin America & Caribbean
Guadeloupe,Latin America & Caribbean
Guam,East Asia & Pacific
Guatemala,Latin America & Caribbean
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Guyana,Latin America & Caribbean
Haiti,Sub-Saharan Africa
Honduras,Latin America & Caribbean
Hungary,Europe & Central Asia
Iceland,Europe & Central Asia
India,South Asia
Indonesia,East Asia & Pacific
Iran (Islamic Republic of),South Asia
Iraq,Middle East & North Africa
Ireland,Europe & Central Asia
Isle of Man,Europe & Central Asia
Israel,Europe & Central Asia
Italy,Europe & Central Asia
Jamaica,Latin America & Caribbean
Japan,East Asia & Pacific
Jordan,Middle East & North Africa
Kazakhstan,Europe & Central Asia
Kenya,Sub-Saharan Africa
Kiribati,East Asia & Pacific
Kuwait,Middle East & North Africa
Kyrgyzstan,Europe & Central Asia
Lao People's Democratic Republic,East Asia & Pacific
Latvia,Europe & Central Asia
Lebanon,Middle East & North Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Libya,Sub-Saharan Africa
Liechtenstein,Europe & Central Asia
Lithuania,Europe & Central Asia
Luxembourg,Europe & Central Asia
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Malaysia,South Asia
Maldives,South Asia
Mali,Sub-Saharan Africa
Malta,Europe & Central Asia
Marshall Islands,East Asia & Pacific
Martinique,Latin America & Caribbean
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mayotte,Sub-Saharan Africa
Mexico,Latin America & Caribbean
Micronesia (Federated States of),East Asia & Pacific
Monaco,Europe & Central Asia
Mongolia,East Asia & Pacific
Montenegro,Europe & Central Asia
Montserrat,Latin America & Caribbean
Morocco,Middle East & North Africa
Mozambique,Sub-Saharan Africa
Myanmar,East Asia & Pacific
Namibia,Sub-Saharan Africa
Nauru,East Asia & Pacific
Nepal,South Asia
Netherlands,Europe & Central Asia
New Caledonia,East Asia & Pacific
New Zealand,East Asia & Pacific
Nicaragua,Latin America & Caribbean
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Niue,East Asia & Pacific
North Macedonia,Europe & Central Asia
Northern Mariana Islands,East Asia & Pacific
Norway,Europe & Central Asia
Oman,Middle East & North Africa
