name,year,pop_n,pop_u,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,wat_bas_r,wat_lim_r,wat_unimp_r,wat_sur_r,wat_bas_u,wat_lim_u,wat_unimp_u,wat_sur_u
Croatia,2020,4105.268066,57.55299759,null,null,null,null,null,null,null,null,100,0,0,0
Croatia,2015,4232.874023,56.15500259,null,null,null,null,null,null,null,null,100,0,0,0
Argentina,2020,45195.77734,92.11100006,null,null,null,null,null,null,null,null,99.79042065,0,0.2095793501,0
Greece,2015,10659.7373,78.04600525,100.0000046,0,0,0,100,0,0,0,100,0,0,0
Andorra,2020,77.26499939,87.91600037,100.0000037,0,0,0,100,0,0,0,100,0,0,0
Finland,2020,5540.717773,85.51700592,100.0000033,0,0,0,100,0,0,0,100,0,0,0
Switzerland,2020,8654.618164,73.91500092,100.0000028,0,0,0,100,0,0,0,100,0,0,0
Germany,2015,81787.41406,77.20000458,100.0000024,0,0,0,100,0,0,0,100,0,0,0
Iceland,2015,330.2369995,93.69999695,100.0000023,0,0,0,100,0,0,0,100,0,0,0
Greece,2020,10423.05566,79.71500397,100.0000023,0,0,0,100,0,0,0,100,0,0,0
Germany,2020,83783.94531,77.45300293,100.0000023,0,0,0,100,0,0,0,100,0,0,0
Greenland,2020,56.77199936,87.28200531,100.0000017,0,0,0,100,0,0,0,100,0,0,0
Israel,2015,7978.496094,92.17900085,100.0000015,0,0,0,100,0,0,0,100,0,0,0
United Kingdom,2015,65860.14844,82.62599945,100.0000015,0,0,0,100,0,0,0,100,0,0,0
New Zealand,2020,4822.23291,86.6989975,100.0000013,0,0,0,100,0,0,0,100,0,0,0
Norway,2015,5199.827148,81.09099579,100.0000012,0,0,0,100,0,0,0,100,0,0,0
Denmark,2020,5792.203125,88.11600494,100.0000011,0,0,0,100,0,0,0,100,0,0,0
Malta,2020,441.5390015,94.7440033,100.0000004,0,0,0,100,0,0,0,100,0,0,0
Saint Barthelemy,2020,9.885,100,100,0,0,0,null,null,null,null,100,0,0,0
Nauru,2015,10.3739996,100,100,0,0,0,null,null,null,null,100,0,0,0
Nauru,2020,10.83399963,100,100,0,0,0,null,null,null,null,100,0,0,0
Tuvalu,2015,11.09899998,59.72999954,100,0,0,0,100,0,0,0,100,0,0,0
Tuvalu,2020,11.79199982,64.01399994,100,0,0,0,100,0,0,0,100,0,0,0
San Marino,2015,33.27000046,96.73899841,100,0,0,0,null,null,null,null,null,null,null,null
Gibraltar,2020,33.69100189,100,100,0,0,0,null,null,null,null,100,0,0,0
Gibraltar,2015,33.74200058,100,100,0,0,0,null,null,null,null,100,0,0,0
San Marino,2020,33.93799973,97.49900055,100,0,0,0,null,null,null,null,null,null,null,null
Liechtenstein,2015,37.46500015,14.30300045,100,0,0,0,null,null,null,null,null,null,null,null
Monaco,2015,37.72299957,100,100,0,0,0,null,null,null,null,100,0,0,0
Liechtenstein,2020,38.13700104,14.41600037,100,0,0,0,null,null,null,null,null,null,null,null
Monaco,2020,39.24399948,100,100,0,0,0,null,null,null,null,100,0,0,0
Faeroe Islands,2015,48.05500031,41.63799667,100,0,0,0,null,null,null,null,null,null,null,null
Faeroe Islands,2020,48.86500168,42.39799881,100,0,0,0,null,null,null,null,null,null,null,null
Greenland,2015,56.37799835,86.07099915,100,0,0,0,100,0,0,0,100,0,0,0
Northern Mariana Islands,2020,57.55699921,91.79799652,100,0,0,0,null,null,null,null,null,null,null,null
French Polynesia,2015,273.118988,61.68300247,100,0,0,0,null,null,null,null,null,null,null,null
French Polynesia,2020,280.9039917,61.97500229,100,0,0,0,null,null,null,null,null,null,null,null
Malta,2015,433.5589905,94.41400146,100,0,0,0,100,0,0,0,100,0,0,0
"China, Macao SAR",2015,602.0930176,100,100,0,0,0,null,null,null,null,100,0,0,0
"China, Macao SAR",2020,649.34198,100,100,0,0,0,null,null,null,null,100,0,0,0
Réunion,2020,895.3079834,99.65900421,100,0,0,0,null,null,null,null,null,null,null,null
Bahrain,2015,1371.853027,88.99899292,100,0,0,0,null,null,null,null,null,null,null,null
Bahrain,2020,1701.583008,89.50600433,100,0,0,0,null,null,null,null,null,null,null,null
Puerto Rico,2020,2860.840088,93.58100128,100,0,0,0,null,null,null,null,null,null,null,null
Kuwait,2015,3835.587891,100,100,0,0,0,null,null,null,null,null,null,null,null
Kuwait,2020,4270.562988,100,100,0,0,0,null,null,null,null,null,null,null,null
Singapore,2015,5592.143066,100,100,0,0,0,null,null,null,null,100,0,0,0
Singapore,2020,5850.342773,100,100,0,0,0,null,null,null,null,100,0,0,0
Turkmenistan,2020,6031.187012,52.51600266,100,0,0,0,100,0,0,0,100,0,0,0
"China, Hong Kong SAR",2015,7185.992188,100,100,0,0,0,null,null,null,null,100,0,0,0
"China, Hong Kong SAR",2020,7496.987793,100,100,0,0,0,null,null,null,null,100,0,0,0
Switzerland,2015,8296.775391,73.71800232,100,0,0,0,100,0,0,0,100,0,0,0
Israel,2020,8655.541016,92.58699799,100,0,0,0,100,0,0,0,100,0,0,0
Austria,2015,8678.666992,57.71500015,100,0,0,0,100,0,0,0,100,0,0,0
Austria,2020,9006.400391,58.7480011,100,0,0,0,100,0,0,0,100,0,0,0
Romania,2020,19237.68164,54.19400024,100,0,0,0,100,0,0,0,100,0,0,0
Romania,2015,19925.18164,53.88699722,100,0,0,0,100,0,0,0,100,0,0,0
Saudi Arabia,2020,34813.86719,84.28700256,100,0,0,0,null,null,null,null,null,null,null,null
France,2015,64453.19531,79.65499878,100,0,0,0,100,0,0,0,100,0,0,0
Thailand,2020,69799.97656,51.43000031,100,0,0,0,100,0,0,0,100,0,0,0
Netherlands,2020,17134.87305,92.23600006,99.99999929,0,0.000000712408621,0,100,0,0,0,100,0,0,0
Chile,2020,19116.20898,87.72699738,99.99999872,0,0.000001277139333,0,100,0,0,0,100,0,0,0
Netherlands,2015,16938.49219,90.17299652,99.99999856,0,0.000001441336238,0,100,0,0,0,100,0,0,0
United Kingdom,2020,67886.00781,83.90299988,99.99999856,0,0.00000143853282,0,100,0,0,0,100,0,0,0
France,2020,65273.51172,80.97499847,99.9999985,0,0.00000149610841,0,100,0,0,0,100,0,0,0
Denmark,2015,5688.694824,87.52600098,99.99999785,0,0.000002145840412,0,100,0,0,0,100,0,0,0
Belgium,2015,11287.93066,97.87599945,99.9999977,0,0.000002298024512,0,100,0,0,0,100,0,0,0
