car_name,cylinders,displacement,model_year,weight,horsepower,origin,acceleration,mpg
amc ambassador brougham,8,360,73,3821,175,1,11,13
amc ambassador dpl,8,390,70,3850,190,1,8.5,15
amc ambassador sst,8,304,72,3672,150,1,11.5,17
amc concord,4,151,80,3003,90,1,20.1,24.3
amc concord,6,232,78,3210,90,1,17.2,19.4
amc concord d/l,6,258,78,3410,120,1,15.1,18.1
amc concord dl,4,151,82,3035,0,1,20.5,23
amc concord dl 6,6,232,79,3265,90,1,18.2,20.2
amc gremlin,6,199,70,2648,90,1,15,21
amc gremlin,6,232,71,2634,100,1,13,19
amc gremlin,6,232,73,2789,100,1,15,18
amc gremlin,6,232,75,2914,100,1,16,20
amc hornet,6,199,70,2774,97,1,15.5,18
amc hornet,6,232,73,2945,100,1,16,18
amc hornet,6,232,74,2901,100,1,16,19
amc hornet,6,232,76,3085,90,1,17.6,22.5
amc hornet sportabout (sw),6,258,71,2962,110,1,13.5,18
amc matador,6,232,71,3288,100,1,15.5,18
amc matador,6,258,74,3632,110,1,18,16
amc matador,6,258,75,3730,110,1,19,15
amc matador,8,304,73,3672,150,1,11.5,14
amc matador,8,304,76,3962,120,1,13.9,15.5
amc matador (sw),8,304,72,3892,150,1,12.5,15
amc matador (sw),8,304,74,4257,150,1,15.5,14
amc pacer,6,232,75,3211,90,1,17,19
amc pacer d/l,6,258,76,3193,95,1,17.8,17.5
amc rebel sst,8,304,70,3433,150,1,12,16
amc spirit dl,4,121,79,2670,80,1,15,27.4
audi 100 ls,4,107,70,2430,90,2,14.5,24
audi 100ls,4,114,73,2582,91,2,14,20
audi 100ls,4,115,75,2694,95,2,15,23
audi 4000,4,97,80,2188,78,2,15.8,34.3
audi 5000,5,131,78,2830,103,2,15.9,20.3
audi 5000s (diesel),5,121,80,2950,67,2,19.9,36.4
audi fox,4,98,74,2219,83,2,16.5,29
bmw 2002,4,121,70,2234,113,2,12.5,26
bmw 320i,4,121,77,2600,110,2,12.8,21.5
buick century,6,231,75,3907,110,1,21,17
buick century,6,231,81,3415,110,1,15.8,22.4
buick century 350,8,350,73,4100,175,1,13,13
buick century limited,6,181,82,2945,110,1,16.4,25
buick century luxus (sw),8,350,74,4699,150,1,14.5,13
buick century special,6,231,78,3380,105,1,15.8,20.6
buick electra 225 custom,8,455,73,4951,225,1,11,12
buick estate wagon (sw),8,350,79,4360,155,1,14.9,16.9
buick estate wagon (sw),8,455,70,3086,225,1,10,14
buick lesabre custom,8,350,72,4502,155,1,13.5,13
buick opel isuzu deluxe,4,111,77,2155,80,1,14.8,30
buick regal sport coupe (turbo),6,231,78,3445,165,1,13.4,17.7
buick skyhawk,6,231,75,3039,110,1,15,21
buick skylark,4,151,81,2635,84,1,16.4,26.6
buick skylark,6,231,77,3425,105,1,16.9,20.5
buick skylark 320,8,350,70,3693,165,1,11.5,15
buick skylark limited,4,151,79,2670,90,1,16,28.4
cadillac eldorado,8,350,79,3900,125,1,17.4,23
cadillac seville,8,350,76,4380,180,1,12.1,16.5
capri ii,4,140,76,2572,92,1,14.9,25
chevroelt chevelle malibu,6,250,75,3897,105,1,18.5,16
chevrolet bel air,8,350,75,4440,145,1,14,15
chevrolet camaro,4,151,82,2950,90,1,17.3,27
chevrolet caprice classic,8,305,77,3880,145,1,12.5,17.5
chevrolet caprice classic,8,305,79,3840,130,1,15.4,17
chevrolet caprice classic,8,400,73,4464,150,1,12,13
chevrolet cavalier,4,112,82,2605,88,1,19.6,28
chevrolet cavalier 2-door,4,112,82,2395,88,1,18,34
chevrolet cavalier wagon,4,112,82,2640,88,1,18.6,27
chevrolet chevelle concours (sw),8,307,72,4098,130,1,14,13
chevrolet chevelle malibu,6,250,71,3329,100,1,15.5,17
chevrolet chevelle malibu,8,307,70,3504,130,1,12,18
chevrolet chevelle malibu classic,6,250,74,3781,100,1,17,16
chevrolet chevelle malibu classic,8,305,76,4215,140,1,13,17.5
