Region,Temperature,Rainfall,Soil_Type,Fertilizer_Usage,Pesticide_Usage,Irrigation,Crop_Variety,Yield
East,23.152155735731096,803.3625734259747,Clayey,204.7920110607646,20.76758957893221,1,Variety B,40.316317778206084
West,19.382418975445855,571.5676697342047,Sandy,256.2017369949576,49.2902424374646,0,Variety A,26.846639296498925
North,27.895890096458572,-8.699636591094702,Loamy,222.20262589749677,25.316120561489832,0,Variety C,-0.32355762809599165
East,26.741361132013626,897.426194134021,Loamy,187.98409026511663,17.115362349379986,0,Variety C,45.440871287808704
East,19.090285745362394,649.3846938142119,Loamy,110.45954885383827,24.06880445382609,1,Variety B,35.47811829725485
West,29.177471389603806,891.2836506376902,Loamy,156.49937986710702,27.607213147887727,1,Variety A,46.60005176237303
North,19.00907983698832,718.1447172299668,Loamy,291.9357062084289,12.772310921531794,0,Variety A,33.34459649705373
North,30.146108956169467,758.1030837741118,Loamy,214.44134581815,33.12873524893158,1,Variety A,38.534189447509775
East,28.43931663593509,541.0533787202169,Loamy,191.0988450847474,33.905297594756014,1,Variety B,28.482637897388607
South,27.098327612990346,447.54079756203345,Clayey,283.2391563820568,39.557218213978885,0,Variety A,20.511027450270152
East,23.11502420416482,574.6962375464321,Sandy,196.62794525936218,11.166795691629732,0,Variety B,29.08369503561965
East,27.878898913332264,358.2429839506922,Loamy,181.52062960435075,31.649528577353205,1,Variety B,18.901521746540038
East,30.381859976205902,586.7761701800464,Clayey,239.82771378755132,12.116297330826576,0,Variety B,30.159745414242728
East,27.961759605540866,-25.35725147014216,Clayey,228.16640474663612,38.04576879866614,1,Variety C,-0.4767335332647712
West,21.648749891368812,508.5864490428826,Sandy,98.29000210210819,12.229119428039379,1,Variety A,29.188909200005067
North,26.33703491177732,768.9352240204266,Loamy,167.8270686435303,46.469113933665305,1,Variety A,40.10982302957735
West,30.66017493147518,518.8617157857932,Sandy,168.1288607048963,38.08330267537986,1,Variety B,26.58065415135413
West,35.995490902783516,845.4965476061975,Loamy,144.55612881083619,30.295590603406282,0,Variety B,45.71209449454961
West,23.97393512750402,447.25092243027893,Clayey,179.32337053806327,27.660156931247,0,Variety A,23.424433802741618
East,29.289415530657152,700.5301825975655,Clayey,153.27684943178605,15.226905216530495,0,Variety B,37.2183676337886
South,30.67240260042159,324.3459852653268,Clayey,99.83637236779578,21.639975582586523,0,Variety A,18.78652028108056
North,20.93797500505118,692.3913239110757,Clayey,153.09162181867026,44.75836420083585,1,Variety C,36.130107231887806
South,33.910391590307405,546.5189816455633,Sandy,68.06923689329415,46.178112462499755,1,Variety B,31.94883394101085
West,19.67407657958277,456.04990083145424,Loamy,193.9464656936029,10.029908334821243,0,Variety A,22.772063076855883
West,29.04492757516488,-14.776423012884038,Loamy,263.413637235278,33.76545565910205,1,Variety B,-1.4697825504600106
South,26.52659889773533,449.12464483889005,Sandy,231.3217710886388,38.77202436100454,1,Variety A,24.36680273407479
South,25.2778777999908,542.6906038559621,Loamy,140.0985100135278,34.74987929830425,1,Variety A,29.778262391440744
South,37.73416640724322,665.7418870439834,Clayey,71.76780139432705,13.26719059465416,0,Variety B,37.83544698854715
West,23.493723823365993,812.1899598198136,Loamy,100.53734980631768,18.70899595195609,0,Variety C,43.60506618770792
West,23.413272036356958,907.0065402731822,Clayey,186.37258512370892,20.01361069525544,0,Variety A,46.286298620340055
North,31.657394036988975,749.2534686245968,Sandy,101.7642708457582,43.268985252203585,1,Variety A,40.75452597797373
North,28.809018890433915,387.5819349391611,Loamy,185.9932778212419,28.52797745235682,0,Variety A,21.165024458485455
West,31.41049460479277,439.0391820964522,Sandy,107.89975619097473,29.473128477649475,0,Variety C,25.3611214447714
South,25.584346911705566,647.7830942087367,Loamy,262.23096736901823,47.395721862180345,0,Variety C,31.383327145569993
South,26.584713085060816,603.9228919695603,Clayey,149.3178682101149,35.48343555418862,0,Variety B,32.263265876924315
North,34.50467806497287,825.6691918782724,Sandy,111.38765648612276,45.94670806210655,0,Variety C,44.38588925460041
West,20.820229602096518,995.8778837419823,Loamy,253.0815450617654,28.26035421366132,0,Variety B,48.91852534597277
North,24.4856147795417,953.4360390196446,Clayey,135.7097412013627,15.97745034073177,1,Variety B,50.205993838365764
North,28.991270357127224,798.7876399596689,Sandy,77.87192195969548,47.197423762963425,1,Variety C,44.46531944515474
East,24.02069589956081,605.5805297885795,Sandy,192.6023728509104,28.34820462670153,0,Variety B,30.506050629803322
East,22.149270603584824,769.8650125891688,Loamy,195.39105110949717,17.265256875152875,0,Variety C,38.98283775795312
East,28.09242256393261,832.2882027456792,Loamy,228.67391880893354,22.09582961215689,1,Variety B,43.35803713061415
South,31.67902833245747,470.5399205489963,Loamy,110.05485830209639,12.032103587557689,1,Variety C,26.905777946640157
West,24.295828185970713,393.46780549824814,Clayey,160.9428347730613,28.732023658255407,0,Variety C,20.98239478689804
West,24.157051895946253,346.515799985665,Loamy,120.59197976066406,44.12512687640947,0,Variety B,20.336770830903593
West,21.761559871582847,324.72305331093935,Sandy,70.23843402892203,47.343218240267575,0,Variety A,19.326278708101366
West,23.520115782971327,223.6009354813619,Sandy,269.15345675397293,47.30408830014575,0,Variety B,9.411999077705213
East,30.41803039915093,549.9803418235455,Loamy,232.2174511220853,15.00920102514987,1,Variety C,27.998732282573478
South,25.405314353468285,300.04943978237367,Loamy,125.36576486470017,25.28215530044228,0,Variety A,17.38047773435423
South,20.97504669534856,343.2955631729235,Sandy,199.84324821799657,11.129150386028254,0,Variety B,17.476920317766336
East,26.311811901618313,640.2511118353455,Clayey,100.3159470336181,44.20661379885891,0,Variety B,34.718707774626154
South,30.255970054930202,536.321813250702,Loamy,272.55915544894276,24.350230480850954,0,Variety B,27.4711166506325
East,22.190571682262856,585.9249881267349,Loamy,78.72658584047758,35.24468111568939,1,Variety A,32.13203127967428
West,18.356973902022183,773.0297523784163,Sandy,50.959286376950224,38.59593752309154,1,Variety C,41.930792369868016
East,35.95412579936376,672.9059817081591,Loamy,175.50204943479554,27.193786789726214,1,Variety B,35.2491155719293
West,18.107353249783763,803.7773162905326,Clayey,195.78195586321732,22.25769346200972,0,Variety B,40.664291966641144
West,23.204887180721073,515.9952989556141,Sandy,194.7413300739511,48.488516404637785,0,Variety B,25.826000913842503
North,26.160642559293347,822.3581182624791,Loamy,63.62798185945657,48.57952900095417,1,Variety B,45.489978916264626
East,23.637861493778544,571.947352871492,Sandy,128.5109517296081,21.577454721200876,0,Variety B,30.866949824078947
North,24.625445776724906,533.7412522190406,Loamy,174.79973671033295,29.185003869778324,0,Variety C,28.828162083811755
East,27.88419083937297,792.3052412553006,Loamy,104.14479640681023,48.9137663464009,1,Variety C,43.145423006831734
East,13.041391711436033,325.56926416134104,Loamy,268.1564713714741,10.194736306220129,1,Variety B,14.54142963962112
North,18.665527642380745,904.720113508495,Clayey,71.77732236535851,26.50712993516597,1,Variety A,48.39382347235421
North,25.221296930351645,443.5799959925428,Clayey,171.8461104180107,14.018301987238736,1,Variety C,23.3845808603878
East,22.97891494013195,256.37840569013565,Sandy,222.854014378288,30.366318622504103,0,Variety A,12.819311579708673
South,25.64705629137799,630.7003904111724,Loamy,115.43777503362061,10.986798181619486,0,Variety C,33.69051839625282
West,26.138266413156522,424.5356979763479,Loamy,206.06018424937955,26.275937255625117,1,Variety B,22.18423863030952
North,14.420400022645039,905.1614183822501,Clayey,257.34628753559366,18.827962991413404,0,Variety C,43.10400192670136
West,31.36820166075823,413.4198362429706,Loamy,97.58424377376188,31.33233449834963,1,Variety B,24.5063501326305
South,22.50866058449825,562.8897834703924,Clayey,279.3051479562157,49.83974596402798,1,Variety C,27.721367285688167
South,20.672434076119966,214.8813369043794,Loamy,188.3896331655895,42.021444205069905,0,Variety B,10.217469192183314
South,26.041776479796397,662.5828489794942,Sandy,124.80800107526514,43.82568366497686,1,Variety B,35.39286374881648
North,25.535801138911214,344.52198482821905,Loamy,157.71456884556767,35.41059949436324,0,Variety B,18.709411562980858
South,30.983454088273188,638.6649380665202,Loamy,128.047970946597,11.662393930890342,0,Variety B,33.29697457261469
North,26.359365813850083,414.3309520588276,Clayey,231.27778998332903,18.271907041765765,0,Variety A,21.597060601516272
South,30.7905542401215,90.61306265544005,Loamy,249.07516585378303,47.002582257882196,0,Variety B,4.272649832431964
West,20.309113122861472,526.2380180687767,Loamy,258.23434807966527,24.64452471715005,1,Variety A,25.209081494752464
West,25.709305276037497,517.2857034156871,Clayey,296.4420623964353,14.145469059231823,0,Variety A,24.402703312331006
East,19.426261463375553,676.2143147245226,Sandy,247.82107312417088,38.09621463464808,1,Variety B,33.36560683947938
West,25.488379277801396,811.2001143678408,Sandy,200.34601767214085,21.978308957370185,1,Variety A,41.2236868437532
East,24.428560221990573,882.4818819833597,Clayey,134.80507459794595,20.75427651616687,1,Variety C,46.8610554624026
West,24.213512873995484,672.8308426941771,Clayey,186.14886217768733,49.91909822233041,1,Variety B,35.039769448275266
North,24.257362238191835,555.7238384131837,Clayey,60.26704319760135,44.32555700106617,0,Variety A,30.587966333723664
West,28.681947350922986,214.53328209690693,Clayey,236.20626888247827,26.31751273471364,0,Variety B,10.609530903826895
East,16.9632017149871,540.4041873980015,Clayey,161.48888627302546,49.21044831265996,1,Variety B,27.228366967743117
East,20.501060686079136,542.9880339877865,Sandy,55.005807433046904,36.004528936768544,1,Variety B,29.972721171568885
South,24.797140866274123,460.2719480687944,Sandy,65.6267353776027,39.68089807519041,0,Variety A,26.374575946621263
North,19.10668455264375,626.5935301201617,Clayey,146.86661595543916,11.260521723288463,1,Variety C,32.38958036412877
West,25.23057053100522,724.3811421964269,Loamy,195.85537975460878,14.864210373922283,0,Variety C,37.72714879435424
South,24.745737393794627,336.3192138942632,Clayey,166.05098723803167,35.323405059849534,1,Variety A,18.504976289486564
West,17.981216774737085,333.2031291601066,Loamy,204.80107932303872,45.96095930597936,0,Variety B,15.685844836466265
West,17.734174268728612,472.14159764467416,Clayey,170.07356469783895,34.94974904350383,1,Variety A,23.907352372116012
South,11.88105882225367,376.9541618584154,Clayey,215.4259613703367,15.360995772759672,1,Variety A,18.75377959508012
South,18.896649751590434,171.7493595280274,Sandy,104.78151616770022,14.630401849852985,0,Variety A,10.343245826901871
South,25.071616291053,300.68145273540966,Loamy,78.21079679590535,43.767435832963265,1,Variety B,18.973015743236495
South,25.78093911470439,253.53577059251188,Loamy,199.10848865641498,15.572093548316573,1,Variety A,13.589468677928703
South,26.009497798142252,741.6901016036306,Sandy,171.17237923407686,30.809278420161018,0,Variety B,37.98189122906246
West,21.110405936663096,840.5654012018556,Sandy,56.71691351123383,11.48453279849209,1,Variety A,46.06469606905161
South,24.908482579892553,280.91330854108264,Sandy,145.12047137325897,13.226790695647095,0,Variety C,15.204815569063912
North,26.986223046207265,609.2147026274223,Sandy,76.53139637274887,36.893930705714595,0,Variety A,33.873256575222044
East,18.659822252494234,674.7032848939501,Loamy,182.83920793817381,37.567256417100666,1,Variety A,34.33847050598277
South,25.6166453719527,201.54624266802722,Loamy,148.9444199151077,23.658776264337696,1,Variety C,12.599449978982365
South,28.282406059175457,532.1957894358,Clayey,203.28797777575448,18.62439060972179,1,Variety B,28.781512515960355
West,22.546139350885596,1006.7032330693052,Clayey,251.40055469255958,42.54841083029232,1,Variety B,49.86567565310212
South,30.311171651748015,635.4293732715262,Sandy,124.9171709603727,18.684129178795615,1,Variety A,34.53067134014543
