x1,x2
84,112
57,92
104,26
104,133
121,105
121,75
57,58
89,197
101,142
144,106
147,138
104,155
86,81
115,106
68,80
116,49
125,37
127,136
58,71
87,140
84,47
160,79
77,40
61,180
91,109
57,130
108,76
79,112
161,98
90,87
27,165
80,108
134,81
70,103
81,115
120,104
123,83
60,143
121,86
79,110
46,126
89,123
105,61
155,0
114,118
71,128
91,143
51,138
76,96
136,159
100,93
120,165
119,127
80,97
144,141
83,108
110,176
186,97
60,137
123,158
115,131
138,127
79,67
86,44
131,173
72,113
65,94
147,137
57,166
55,129
121,100
37,71
118,118
88,56
53,125
103,112
170,106
93,118
148,134
83,130
51,106
127,92
113,130
99,155
136,74
96,80
94,167
100,34
46,105
186,114
104,160
73,40
113,83
132,108
53,95
79,127
108,144
100,122
28,198
83,74
