,ZAR/USD,Value of Exports (USD),Value of Exports (ZAR),Value of Imports (USD),Value of Imports (ZAR),Total Reserves excl Gold (USD),IMF Reserve Position (USD),Foreign Exchange (USD),Claims on Non-residents (USD),Liabilities to Non-residents (USD),Central Bank Policy Rate,Money Market Rate,Treasury Bill Rate,Savings Rate,Deposit Rate,Lending Rate,Government Bonds,"Financial Market Prices, Equities Index",Producer Price Index,Consumer Price Index
2008M01,7.01,5611.9,39356.82,8105.11,56841.94,29884.51,1.92,29526.78,51547.61,37752.29,11,10.64,10.47,4.53,10.83,14.5,8.36,312.97,86.03,85.48
2008M02,7.66,6126.16,46946.33,8159.43,62527.78,30304.31,2.01,29943.04,59702.31,45927.67,11,10.66,10.32,5.61,11,14.5,8.69,335.09,87.23,85.91
2008M03,7.97,6417.48,51150.89,8010.87,63851.12,30615.42,2.05,30246.54,56448.18,42565.17,11,10.69,10.18,5.62,11.04,14.5,9.16,348.84,89,87.04
2008M04,7.79,7215.71,56174.34,9112.97,70944.49,30763.42,2.03,30399.21,55534.75,43342.7,11.5,11,10.27,5.8,11.28,15,9.15,358.47,90.83,87.61
2008M05,7.62,7379.67,56240.45,9090.14,69275.97,30831.43,2.1,30467.81,57682.89,46533.13,11.5,11.2,10.6,6.5,11.39,15,9.51,371.98,95.32,88.32
2008M06,7.92,7595.95,60159.93,8379.54,66365.94,31102.67,2.12,30736.15,59080.19,47366.49,12,11.49,11.42,7.13,11.74,15.5,10.35,356.82,97.82,89.6
2008M07,7.63,8034.45,61268.16,10589.92,80755.37,31299.82,2.1,30936.15,54258.57,44740.78,12,11.7,11.38,7.22,12.01,15.5,10.1,317.62,100.43,90.88
2008M08,7.66,7882.49,60390.94,8995.88,68921.01,30966.32,2.09,30614.02,49661.08,41108.47,12,11.69,11.35,7.24,11.93,15.5,9.2,308.21,100.95,91.44
2008M09,8.06,7579.28,61067.34,8928.3,71936.53,30832.17,2.07,30482.71,50309.76,40608.04,12,11.71,11.15,7.06,12.08,15.5,9.04,288.18,97.4,92.01
2008M10,9.74,6737.19,65652.57,8141.32,79335.56,29934.99,1.98,29600.99,55934.07,48338.35,12,11.77,10.93,7.31,12.25,15.5,9.24,233.78,96.93,92.3
2008M11,10.1,5335.24,53877.9,6910.18,69782.47,29938.41,2,29604.44,54700.75,43913.7,12,11.8,10.85,6.57,12.08,15.5,8.58,216.39,95.68,92.3
2008M12,9.97,4866.64,48541.09,6108.6,60928.72,30583.54,2.07,30237.83,56996.35,48065.7,11.5,11.54,10.77,6.96,11.72,15,7.82,226.89,94.59,92.15
2009M01,9.9,3662.05,36251.75,6295.88,62324.8,30012.33,2.03,29674.31,53435.7,46028.49,11.5,11.27,10.66,7.28,11.34,15,7.85,77.17,93.91,92.72
2009M02,10.01,4403.4,44061.75,4725.01,47279.82,29931.76,1.99,29602.39,50953.92,43800.44,10.5,10.47,9.22,6.65,10.59,14,8.26,73.49,93.6,93.57
2009M03,10.47,4991.65,52267.6,5322.34,55730.27,30375.93,2.02,30040.34,51463.15,44624.8,9.5,10.02,8.62,5.89,10.7,13,8.43,71.86,93.7,94.99
2009M04,9,4519.21,40656.33,5231.04,47060.18,30475.88,2.09,30139.63,52079.72,46358.49,9.5,9.26,8.28,5.72,9.21,13,8.57,75.8,93.49,95.42
2009M05,8.38,4947.93,41456.8,5185.04,43443.4,31904.53,2.18,31556.98,55650.92,47600.68,7.5,8.25,7.68,4.61,8.32,11,8.7,79.84,92.45,95.7
2009M06,8.05,5348.97,43039.15,5606.19,45108.77,31949.14,2.19,31600.65,53382.51,45023.13,7.5,7.26,7.23,4.33,7.91,11,8.88,82,93.86,95.99
2009M07,7.95,5591.78,44461.89,6769.65,53827.52,31961.16,2.19,31612.43,53053.83,44346.3,7.5,7.24,7.39,4.33,7.88,11,9.11,83.44,96.62,96.98
2009M08,7.94,5025.91,39880.63,6002.06,47626.38,34122.54,2.27,31601.67,53045.78,43512,7,6.97,7.16,4.11,7.56,10.5,8.8,89.9,96.93,97.27
2009M09,7.52,6054.28,45535.41,6403.29,48160.35,35086.63,2.32,32251.21,52800.41,44579.34,7,6.76,6.94,3.92,7.18,10.5,8.7,91.73,93.8,97.55
2009M10,7.48,5891.8,44088.89,7656.58,57294.89,35566.96,2.33,32721.66,52536.14,42245.6,7,6.76,6.95,3.93,7.25,10.5,9.11,94.12,93.75,97.55
2009M11,7.52,6100.17,45855.86,7452.62,56022.42,35752.14,2.36,32870.52,53759.07,43151.83,7,6.77,7.01,3.78,7.3,10.5,9,96.66,94.54,97.55
2009M12,7.48,6065.55,45361.67,6522.37,48778.02,35237.42,2.3,32431.84,51249.87,42138.66,7,6.8,7.07,3.69,7.2,10.5,9.03,95.66,95.21,97.83
2010M01,7.46,5663.29,42222.67,5775.89,43062.14,35091.14,2.28,32309.73,50152.41,43232.92,7,6.78,7.11,3.98,7.22,10.5,9.24,97.37,96.47,98.12
2010M02,7.67,6060.12,46452.33,6331.84,48535.11,34953.14,2.27,32210.37,49504.14,41813.88,7,6.76,7.08,3.91,7.22,10.5,9.11,94.22,96.83,98.69
2010M03,7.41,7655.01,56732.74,7319.67,54247.5,37496.38,2.25,34779.28,52713.3,43300.27,6.5,6.7,6.95,3,7.06,10,8.92,99.14,97.14,99.54
2010M04,7.35,6648.61,48881.26,6635.44,48784.42,37592.06,2.24,34887.72,46187.14,38142.94,6.5,6.28,6.59,3.73,6.79,10,8.75,102.16,98.6,99.54
2010M05,7.65,6898.79,52782.61,6571.87,50281.38,37039.49,2.25,34400.92,44620.41,36636.05,6.5,6.27,6.58,2.63,6.76,10,8.97,96.08,98.76,99.82
2010M06,7.63,7990.45,60991.85,6893.44,52618.31,37202.25,2.26,34555.5,44334.58,35813.43,6.5,6.27,6.54,3.06,6.75,10,8.99,95.49,102.67,99.82
2010M07,7.53,8238.88,62026.96,7620.14,57368.75,38397.55,2.32,35679.89,49978.31,39806.39,6.5,6.26,6.48,3.01,6.72,10,8.78,96.43,104.03,100.39
2010M08,7.3,7474.4,54561.33,7723.22,56377.65,38122.98,2.3,35422.52,50676.87,40939.33,6.5,6.27,6.42,2.81,6.57,10,8.17,96.5,104.45,100.53
2010M09,7.13,8351.48,59514.74,7336.47,52281.54,38764.94,2.44,35979.8,54376.69,44604.17,6,5.95,6.08,2.62,6.25,9.5,7.92,100.18,100.17,100.67
2010M10,6.91,8673.11,59924.36,8117.12,56082.87,38750.68,2.54,35937.54,57311.57,46010.41,6,5.78,5.97,2.89,5.42,9.5,8.03,104.24,99.75,100.82
2010M11,6.98,8909.33,62214.34,7826.78,54654.81,37833.38,2.46,35102.59,56069.63,41962.31,5.5,5.61,5.65,2.45,5.36,9,8.12,108.74,100.43,100.96
2010M12,6.84,8783.69,60077.57,6776.84,46351.36,38175.05,2.49,35418.75,57520.1,46846.9,5.5,5.3,5.59,2.41,5.46,9,8.38,109.48,100.69,101.1
2011M01,6.92,7307.33,50589.55,7511.6,52003.7,40133.72,2.52,37338.21,50316.89,38188.05,5.5,5.29,5.54,2.84,5.77,9,8.52,111.43,101.79,101.67
2011M02,7.17,8076.64,57934.09,7996.46,57359.01,41638.89,2.54,38823.5,50143.68,38989.57,5.5,5.28,5.53,2.68,5.89,9,8.7,113.23,103.3,102.24
2011M03,6.92,9610,66490.02,8863.05,61322.04,43511.72,2.62,40673.98,49810.52,38537.52,5.5,5.27,5.5,2.67,5.95,9,8.94,108.76,104.19,103.51
2011M04,6.74,8777.87,59138.45,8308.7,55977.56,44426.27,2.68,41525.1,51744.77,43144.51,5.5,5.27,5.46,2.72,5.64,9,8.73,112.11,105.73,103.8
2011M05,6.87,9028.33,62005.07,8889.79,61053.61,43965.99,2.64,41100.96,48178.28,36759.22,5.5,5.28,5.45,2.7,5.66,9,8.56,110.32,107.82,104.37
2011M06,6.8,10046.5,68288.05,8637.9,58713.52,43984.07,2.73,41119.51,49601.15,36681.14,5.5,5.28,5.46,2.71,5.7,9,8.5,107.95,109.77,104.93
2011M07,6.8,9493.86,64545.09,9271.74,63034.96,43610.64,2.82,40748.6,49237.23,37082.86,5.5,5.27,5.49,2.71,5.59,9,8.55,110.42,110.54,105.79
2011M08,7.07,9623.89,68025.51,9640.45,68142.52,44113.42,2.84,41232.82,54918.87,40536.41,5.5,5.28,5.49,2.74,5.61,9,8.1,103.1,112.45,105.79
2011M09,7.57,10142.41,76780.08,9212.29,69738.88,43208.21,2.84,40412.98,54386.16,40759.54,5.5,5.29,5.49,2.69,5.62,9,8.25,105.29,113.88,106.35
2011M10,7.97,8707.33,69388.71,9442.36,75246.19,43261.3,2.89,40422.61,57269.67,41976.72,5.5,5.3,5.49,2.73,5.52,9,8.41,106.99,115.72,107.06
2011M11,8.13,9468.44,77011.38,9956.8,80983.47,42759.1,2.82,39981.87,56595.92,40230.66,5.5,5.3,5.49,2.71,5.53,9,8.47,109.9,117.92,107.21
2011M12,8.18,8533.51,69775.24,7570.64,61902.22,42595.18,2.79,39847.11,57421.87,40289.15,5.5,5.33,5.46,2.7,5.59,9,8.51,110.76,119.39,107.49
2012M01,8.01,7461.12,59738.68,8974.12,71852.74,44467.93,2.82,41691.56,56477.11,40552.47,5.5,5.32,5.47,2.76,5.74,9,8.4,114.93,122.58,108.06
2012M02,7.66,8601.9,65881.18,8771.81,67182.51,44714.3,2.83,41929.08,53818.26,41986.03,5.5,5.28,5.5,2.75,5.7,9,8.23,117.99,123.72,108.63
2012M03,7.61,9165.76,69757.79,9301.33,70789.6,43982.33,2.82,41209.52,51010.36,38320.04,5.5,5.28,5.54,2.7,5.72,9,8.37,117.53,124.37,109.76
2012M04,7.83,7657.4,59984.38,8416.85,65933.51,43275.44,56.63,40446.24,50082.47,37507.18,5.5,5.28,5.56,2.7,5.71,9,8.28,117.29,125.19,110.33
2012M05,8.15,8701.92,70949.4,9399.28,76635.17,42625.59,55.15,39869.9,53101.65,38519.72,5.5,5.29,5.56,2.7,5.82,9,8.28,116.29,126.17,110.33
2012M06,8.39,8478.56,71126.23,8555.56,71772.11,42916.99,55.42,40148,56473.16,38784.66,5.5,5.29,5.58,2.7,5.54,9,8.16,117,125.84,110.76
2012M07,8.25,8544.36,70478.5,9142.51,75412.37,42866.76,55.16,40114.52,59580.98,40948.89,5,5.11,5.37,2.5,5.36,8.5,7.52,117.06,125.84,110.9
2012M08,8.28,8561.66,70857.29,9579.82,79283.71,43315.26,58.86,40534.84,55512.44,37540.41,5,4.82,5.05,2.48,5.22,8.5,7.48,121.61,126.82,111.32
2012M09,8.27,7878.84,65197.15,9119.04,75459.83,43849.17,59.64,41031.89,56157.21,38714.18,5,4.79,4.94,2.42,5.14,8.5,7.4,122.64,127.14,112.18
2012M10,8.63,8007.77,69099.25,10278.99,88697.73,43754.14,59.57,40939.82,53857,37669.63,5,4.79,4.94,2.45,5.12,8.5,7.67,124.67,128.28,113.03
2012M11,8.79,8725.59,76736.92,9070.4,79769.35,43854.94,64.6,41045.88,56471.36,40555.73,5,4.78,4.93,2.4,5.08,8.5,7.64,127.77,129.26,113.31
2012M12,8.64,7771.8,67183.07,7761.61,67094.98,43995.47,64.69,41182.55,53199.07,41166.55,5,4.78,4.99,2.42,5.09,8.5,7.37,132.05,128.94,113.74
2013M01,8.79,7047.05,61978.65,9445.32,83071.37,44489.79,68.27,41665.38,52183.81,38708.71,5,4.75,5.06,2.46,5.09,8.5,7.26,137.74,129.59,114.02
2013M02,8.89,8065.34,71725.97,8735.04,77681.66,43979.42,66.34,41204.34,52559.15,38687.58,5,4.74,5.04,2.43,5.08,8.5,7.29,137.67,130.4,115.02
2013M03,9.19,7935.22,72943.05,8451.04,77684.66,43569.15,65.65,40822.69,50131.49,36528.21,5,4.76,5.05,2.46,5.1,8.5,7.39,137.7,131.54,116.44
2013M04,9.11,8306.12,75677.71,9693.37,88317.12,44599.14,87.22,41813.19,52676.97,39261.13,5,4.76,5.12,2.63,5.11,8.5,6.97,131.99,132.03,116.72
2013M05,9.37,8073.72,75647.38,8885.67,83254.97,42500.33,85.63,39734.67,50652.07,34929.46,5,4.76,5.03,2.64,5.12,8.5,6.96,138.53,132.36,116.44
2013M06,10.03,7702.46,77219.97,8194.65,82154.4,41819.99,89.24,39041.45,50287.92,34275.14,5,4.79,5.12,2.61,5.14,8.5,7.94,135.18,133.34,116.86
