Tweets,Date
@BongaDlulane Please send an email to mediadesk@eskom.co.za,2019-11-29 12:50:54
@saucy_mamiie Pls log a call on 0860037566,2019-11-29 12:46:53
@BongaDlulane Query escalated to media desk.,2019-11-29 12:46:10
"Before leaving the office this afternoon, heading off into the weekend, remember to switch off lights &amp; electrical… https://t.co/Jug75zddaF",2019-11-29 12:33:36
"#ESKOMFREESTATE #MEDIASTATEMENT : ESKOM SUSPENDS PLANNED ELECTRICITY SUPPLY INTERRUPTIONS TO 
MANGAUNG METROPOLITAN… https://t.co/MtBo6gjcte",2019-11-29 12:17:43
@IamGladstone @CityPowerJhb @HermanMashaba The outage is due to cable theft. Technicians dispatched to site. No ETR..,2019-11-29 11:28:40
RT @Exposcience: #FridayMotivation #EskomExpoISF Eskom Expo for Young Scientists in Gauteng hosted a science camp at Jiyana Secondary Schoo…,2019-11-29 11:27:56
#EskomMpumalanga hosted a Supplier Development and Localisation workshop in Eerstehoek where 18 local business owne… https://t.co/bYugbjn1Ko,2019-11-29 11:07:18
@maxon_hadebe @CityofJoburgZA Please log a call on MyEskom Customer App https://t.co/99xBTCodMz . The app provides a reference number.,2019-11-29 09:12:47
"@Magudulela_M Hi,  Please log a call on MyEskom Customer App https://t.co/99xBTCodMz . The app provides a reference number.",2019-11-29 09:08:33
RT @Exposcience: #FridayThoughts Norman Mashiri from Dr Joseph Shabalala School received the top ICT project award from @SiemensAfrica in p…,2019-11-29 09:08:12
@Magudulela_M Please report your issue to our Customer Services Centre via one of the following channels 0860037566… https://t.co/WJrPE6rYpn,2019-11-29 08:55:19
@maxon_hadebe @CityofJoburgZA Please report your issue to our Customer Services Centre via one of the following cha… https://t.co/3eedDrTuc4,2019-11-29 08:53:33
#EskomNorthWest Supplier Development and Localisation (SDL) Department engaged up and coming entrepreneurs from Mah… https://t.co/qU2gPvzCmP,2019-11-29 08:33:17
"RT @EskomFoundation: Co-founder &amp; CEO of @LamoSolar, which installs solar power systems in rural communities, @tshibvumo_s joined the Engin…",2019-11-29 07:44:48
"#POWERALERT 1
Date: 29 November 2019

No loadshedding expected today, despite a constrained and vulnerable system https://t.co/1uY3251eGJ",2019-11-29 06:56:21
"#ESKOMFREESTATE #MEDIASTATEMENT

RESPONSE TO MANGAUNG METRO’S STATEMENT ON THE OUTCOME OF 
THE MEETING BETWEEN ESKO… https://t.co/lFQ3YparJK",2019-11-28 17:23:01
"It is a criminal offence to break or steal covers of meter boxes, sub-stations or other Eskom property.  Making con… https://t.co/y6lug0Ju4b",2019-11-28 16:41:05
"RT @CityPowerJhb: #RandburgOutage City Power is currently experiencing power outage in Greater Randburg. Affecting:
Cresta 
Darrenwood
Wind…",2019-11-28 13:34:41
"#EskomGauteng #PowerOutage - Sandton area

Eskom customers in Sandton and surrounding areas are experiencing a powe… https://t.co/7mWMdEqhVd",2019-11-28 13:26:30
RT @EngNewsZA: [WATCH]:  @Eskom_SA Announces Interim Results for the six months to 30 September 2019 | #Eskom https://t.co/7SB9woD0K3,2019-11-28 13:13:13
RT @EngNewsZA: [PART 3]:  @Eskom_SA Announces Interim Results for the six months to 30 September 2019 | #Eskom https://t.co/WlX9B5mq0a,2019-11-28 13:13:08
RT @EngNewsZA: [PART 2]:  @Eskom_SA Announces Interim Results for the six months to 30 September 2019 | #Eskom https://t.co/QdmiUTsnrN,2019-11-28 13:12:50
"Eskom group interim results for the six months ended 30 September 2019 presentation by Eskom CFO, Calib Cassim… https://t.co/scqwUcM1W6",2019-11-28 12:53:41
"#EskomMediaStatement : Eskom results indicate some positive financial performance for the first half of the year, a… https://t.co/zZMEmTotxa",2019-11-28 12:50:07
"#JabuMabuza : While a net profit of R1.3 billion was realised by September, a R20 billion loss is projected by year… https://t.co/9otWn8KhT5",2019-11-28 12:34:03
"#JabuMabuza : While we continue to face operational and financial challenges, for the interim reporting period endi… https://t.co/fVSOHBXJjn",2019-11-28 12:29:29
"In view of the arrear debt by municipalities and individual users, which continues to escalate, it is encouraging t… https://t.co/ni8GpGQvLW",2019-11-28 12:25:11
Eskom requires a cost-reflective tariff increase. It is for this reason that we are challenging Nersa’s recent tari… https://t.co/oqbQRlJqcC,2019-11-28 12:23:32
Of equal importance is the approval by government of the Special Appropriation Act which will provide for governmen… https://t.co/woh7dxGHhi,2019-11-28 12:20:29
The office of the CRO has been set up to work with govt in finding a sustainable solution to our debt problems. We… https://t.co/p466rxeFxq,2019-11-28 12:19:13
The appointment of the GCE of Eskom brings further leadership stability to our business and enables us to advance t… https://t.co/nVmEx909UV,2019-11-28 12:16:21
- The approval and launching of the Special Paper on Eskom have set the tone for the restructure of Eskom within a… https://t.co/WrdPwErPn1,2019-11-28 12:15:01
- The promulgation of the Integrated Resource Plan (IRP) set the base for much-needed policy direction in the futur… https://t.co/crpcb7QguH,2019-11-28 12:13:24
"#JabuMabuza: Since we shared our annual results in July, there have been some notable developments and key mileston… https://t.co/N0DTlrHapQ",2019-11-28 12:12:18
#JabuMabuza: We always endeavour to keep our stakeholders and fellow South Africans reliably informed about our bus… https://t.co/d1FIDsCfLO,2019-11-28 12:09:44
RT @Eskom_SA: Eskom customers are requested to log a service request call on MyEskom Customer App https://t.co/99xBTCodMz  . The app provid…,2019-11-28 10:47:08
"RT @OverstrandMuni: We are currently experiencing a power outage in PEARLY BEACH due to a cable fault. 
Power is estimated to be restored a…",2019-11-28 10:06:38
"RT @CityPowerJhb: UPDATE: Hopefield Distributor tripped, Affected area: Lawley 2 and surrounding, Technicians are dispatched to work on res…",2019-11-28 10:04:48
"RT @CityPowerJhb: UPDATE: Distributor supplying Westbury North tripped, Affected areas: Westbury Ext.2
Westbury Ext.3
Newclare
Westbury and…",2019-11-28 10:04:45
"RT @EskomFoundation: As we get closer to announcing the #EskomBIC winner, we can't help but reminisce about The forum we hosted early last…",2019-11-28 09:31:52
RT @CityPowerJhb: #NoorwykPlannedOutage in progress until 17h00. Crescent Wood Estate is affected. We apologise for any inconvenience cause…,2019-11-28 09:21:31
RT @CityPowerJhb: #WestfieldPlannedOutage in progress  until 16:00. Please note it's necessary to do essential to do maintenance work on ou…,2019-11-28 09:21:23
"RT @CityPowerJhb: UPDATE: #GresswoldOutage Bramley Gardens distributor tripped, Causing a total loss of  supply in:
Bramely Park
Wynberg
Br…",2019-11-28 09:21:12
"RT @Exposcience: The SKA, funded by 13 nations from around the world, will eventually consist of thousands of dishes scattered across south…",2019-11-28 09:21:11
"#EskomGauteng:Update Sandton Outage

Supply has been restored in Sandown, Parkmore &amp; surrounding areas. If your pow… https://t.co/TI2PJc4xGJ",2019-11-28 08:00:15
Happening today: Eskom to present interim results for six months ended 30 September 2019 https://t.co/pgcsvtg7pg,2019-11-28 07:23:52
