,Date,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
3501570,1857-01-01,18.581000000000003,1.812,Johannesburg,South Africa,26.52S,28.66E
3501571,1857-02-01,18.912,1.641,Johannesburg,South Africa,26.52S,28.66E
3501572,1857-03-01,16.969,1.5730000000000002,Johannesburg,South Africa,26.52S,28.66E
3501573,1857-04-01,13.262,1.555,Johannesburg,South Africa,26.52S,28.66E
3501574,1857-05-01,10.26,1.477,Johannesburg,South Africa,26.52S,28.66E
3501575,1857-06-01,7.216,1.4509999999999998,Johannesburg,South Africa,26.52S,28.66E
3501576,1857-07-01,7.895,1.493,Johannesburg,South Africa,26.52S,28.66E
3501577,1857-08-01,11.168,1.741,Johannesburg,South Africa,26.52S,28.66E
3501578,1857-09-01,14.388,1.622,Johannesburg,South Africa,26.52S,28.66E
3501579,1857-10-01,16.09,1.565,Johannesburg,South Africa,26.52S,28.66E
3501580,1857-11-01,17.744,1.423,Johannesburg,South Africa,26.52S,28.66E
3501581,1857-12-01,18.494,1.827,Johannesburg,South Africa,26.52S,28.66E
3501582,1858-01-01,19.255000000000006,2.436,Johannesburg,South Africa,26.52S,28.66E
3501583,1858-02-01,18.479,1.577,Johannesburg,South Africa,26.52S,28.66E
3501584,1858-03-01,17.229000000000006,1.696,Johannesburg,South Africa,26.52S,28.66E
3501585,1858-04-01,15.264,1.581,Johannesburg,South Africa,26.52S,28.66E
3501586,1858-05-01,10.82,1.643,Johannesburg,South Africa,26.52S,28.66E
3501587,1858-06-01,8.112,1.4340000000000002,Johannesburg,South Africa,26.52S,28.66E
3501588,1858-07-01,7.247000000000001,1.968,Johannesburg,South Africa,26.52S,28.66E
3501589,1858-08-01,10.953,1.591,Johannesburg,South Africa,26.52S,28.66E
3501590,1858-09-01,14.357,1.519,Johannesburg,South Africa,26.52S,28.66E
3501591,1858-10-01,16.602999999999998,1.5719999999999998,Johannesburg,South Africa,26.52S,28.66E
3501592,1858-11-01,18.288,1.557,Johannesburg,South Africa,26.52S,28.66E
3501593,1858-12-01,18.029,1.618,Johannesburg,South Africa,26.52S,28.66E
3501594,1859-01-01,19.218,1.578,Johannesburg,South Africa,26.52S,28.66E
3501595,1859-02-01,18.524,1.971,Johannesburg,South Africa,26.52S,28.66E
3501596,1859-03-01,17.854000000000006,1.545,Johannesburg,South Africa,26.52S,28.66E
3501597,1859-04-01,14.755,1.8,Johannesburg,South Africa,26.52S,28.66E
3501598,1859-05-01,11.392999999999999,1.392,Johannesburg,South Africa,26.52S,28.66E
3501599,1859-06-01,8.19,1.4380000000000002,Johannesburg,South Africa,26.52S,28.66E
3501600,1859-07-01,7.8039999999999985,1.4880000000000002,Johannesburg,South Africa,26.52S,28.66E
3501601,1859-08-01,10.807,1.4409999999999998,Johannesburg,South Africa,26.52S,28.66E
3501602,1859-09-01,14.447000000000001,1.568,Johannesburg,South Africa,26.52S,28.66E
3501603,1859-10-01,16.546,1.533,Johannesburg,South Africa,26.52S,28.66E
3501604,1859-11-01,17.559,1.888,Johannesburg,South Africa,26.52S,28.66E
3501605,1859-12-01,18.340999999999998,1.862,Johannesburg,South Africa,26.52S,28.66E
3501606,1860-01-01,19.171000000000006,1.518,Johannesburg,South Africa,26.52S,28.66E
3501607,1860-02-01,18.752,1.545,Johannesburg,South Africa,26.52S,28.66E
3501608,1860-03-01,16.387,1.917,Johannesburg,South Africa,26.52S,28.66E
3501609,1860-04-01,14.494000000000002,1.483,Johannesburg,South Africa,26.52S,28.66E
3501610,1860-05-01,10.713,1.4240000000000002,Johannesburg,South Africa,26.52S,28.66E
3501611,1860-06-01,7.944,1.624,Johannesburg,South Africa,26.52S,28.66E
3501612,1860-07-01,8.025,1.61,Johannesburg,South Africa,26.52S,28.66E
3501613,1860-08-01,,,Johannesburg,South Africa,26.52S,28.66E
3501614,1860-09-01,,,Johannesburg,South Africa,26.52S,28.66E
3501615,1860-10-01,16.857,1.484,Johannesburg,South Africa,26.52S,28.66E
3501616,1860-11-01,17.428,1.358,Johannesburg,South Africa,26.52S,28.66E
3501617,1860-12-01,17.723999999999997,2.074,Johannesburg,South Africa,26.52S,28.66E
3501618,1861-01-01,18.193,2.003,Johannesburg,South Africa,26.52S,28.66E
3501619,1861-02-01,18.465,1.505,Johannesburg,South Africa,26.52S,28.66E
3501620,1861-03-01,17.547,1.4380000000000002,Johannesburg,South Africa,26.52S,28.66E
3501621,1861-04-01,14.432,1.501,Johannesburg,South Africa,26.52S,28.66E
3501622,1861-05-01,10.578,1.391,Johannesburg,South Africa,26.52S,28.66E
3501623,1861-06-01,8.135,1.586,Johannesburg,South Africa,26.52S,28.66E
