Year,WaterQualityIndex,ClimateChangeImpactScore,LandUseChange,InvasiveSpeciesCount,ConservationFunding,EcoTourismImpact,ForestCoverChange,SoilQualityIndex,WaterUsage,RenewableEnergyUsage,CarbonEmissionLevels,AgriculturalIntensity,HabitatConnectivity,SpeciesReintroductionEfforts,PollinatorDiversity,BiodiversityHealthIndex
2010,35,7.542535443438631,6.630073461417759,39,46,1.1938101133819679,0.03220414858634424,70,33,13,22,1.4193321075939858,1.6713241731358774,9.311311755688491,0.2704341199821879,0.19433214327376058
2010,13,1.617642113521096,6.477131710629215,45,18,8.484717744062646,-4.803485172531522,69,67,57,63,3.0487935739120706,5.815304742771106,4.698085628829011,0.7299156295125776,0.5257793068182857
2010,10,0.9048169528705075,9.069428088348339,28,59,3.412444497577206,-2.5638520801780573,72,85,37,46,7.8632180613607705,9.543693622282358,2.0804954822510013,0.06850756734155239,0.6847954021501531
2010,36,7.060190076640246,7.061931829633586,37,88,9.718453013254846,3.4253822939863703,64,85,96,60,1.0655948046776798,4.9383594065192336,2.1926570159258008,0.14506539464042356,0.9261457472705857
2010,24,8.43924612611724,4.504785714705953,41,88,9.11818569539447,-1.2950856294048574,12,0,85,61,9.785783948593739,2.1140018456090006,7.405189396178674,0.8097983293737647,0.12634490202820003
2010,65,5.488386567200587,5.197042628944843,24,25,4.395629417728987,-0.33316844169135784,46,92,23,97,6.806038701191533,5.50038740998604,5.267478524300461,0.7862968850860543,0.025523844557113207
2010,18,4.628519550158506,9.892177539577501,12,34,0.3994797328609434,3.817089696385846,89,100,76,18,4.162609993600751,9.579820536090995,3.452744944185717,0.7551872742482605,0.5252613467179388
2010,54,4.385384885374355,2.315484359650488,3,54,3.6229349000020483,4.419055872604202,85,85,8,58,2.654992172182822,5.885256813933637,3.398958211618334,0.21454022120328653,0.7019485009805053
2010,69,3.225279778464152,6.668666605509217,12,71,6.347441411040295,-1.3127484452915406,7,64,35,91,1.6870164280374567,6.826448822931313,8.22781364866168,0.8591723615699336,0.38876465211691
2010,17,0.22893824976120247,8.23309429820718,24,71,1.8641980485397458,2.6973141829688014,73,60,47,36,3.1579564450825117,2.0836078907485733,5.402942426723664,0.6777604943626712,0.3869990592543089
2010,37,9.327307404762548,2.4188888355414595,39,42,7.4860870858183235,2.718360352301099,10,77,73,20,3.736346520927243,9.585653346436967,5.750863613851153,0.45491014486784276,0.19210763919942242
2010,36,9.408753563380648,2.0730900318755796,14,42,6.213306241557072,-0.44433218009891196,1,72,43,72,8.071919704021601,6.662701369208477,9.006565507683996,0.693683814971205,0.8965098356138644
2010,33,5.751633504966249,9.110687027673837,16,76,4.826012356615207,-0.16122735435740942,42,56,79,1,6.887675159591515,7.347080055736976,1.1516391190452557,0.7954549106220818,0.7934415913721323
2010,84,3.1753144787673704,9.060658856863652,16,50,8.979552161850192,-2.9908866031447756,73,54,25,50,0.027012168341634668,8.359095822059547,2.4968038798051118,0.5067833815823141,0.27943517031356313
2010,30,6.663068858350397,8.776470196507814,39,94,2.5217287749552995,-2.1084966554584907,29,32,92,23,6.3766404614859065,1.411660331970297,7.229150529229353,0.3234273553222152,0.9445603702671478
2010,12,2.2614705158994077,6.054826692144046,0,44,2.58792408364524,-4.624337704560194,79,81,8,85,8.152063775656499,1.3233055612009137,6.260595314428291,0.9567968245086307,0.8310120604856692
2010,75,1.1310981907657303,5.829844261646024,48,25,1.1914067199604816,1.8267115246275933,31,97,16,25,4.018396856899208,3.2244529018485393,9.709753298600601,0.6505849866461234,0.3155733081799751
