job_title_categories,seniority,annual_salary(USD)
AI/ML Specialist,Junior,3600
Engineer,Mid,7200
AI/ML Specialist,Intern,720
Trainer,Mid,21900
Data Analyst,Mid,8400
QA Engineer,Mid,18000
Engineer,Mid,4320
Analyst,Mid,4800
QA Engineer,Mid,14400
Machine Learning Engineer,Mid,4320
Software Developer,Mid,5040
Software Developer,Mid,1800
Data Scientist,Intern,2160
Machine Learning Engineer,Mid,42000
QA Engineer,Mid,18000
Machine Learning Engineer,Mid,30000
Data Analyst,Mid,2160
QA Engineer,Mid,14400
Data Analyst,Mid,3600
Analyst,Mid,20400
Software Developer,Mid,35715
Machine Learning Engineer,Mid,24000
Software Developer,Mid,35715
Data Analyst,Mid,3600
Engineer,Mid,8400
Machine Learning Engineer,Mid,24000
AI/ML Specialist,Mid,12000
Software Developer,Mid,15747
Engineer,Mid,7200
AI/ML Specialist,Mid,15600
Software Developer,Junior,14400
Data Scientist,Intern,2160
Machine Learning Engineer,Mid,9540
Engineer,Mid,2016
Software Developer,Mid,18000
AI/ML Specialist,Mid,21600
AI/ML Specialist,Mid,30000
Other,Senior,7200
Other,Senior,7200
Data Analyst,Mid,2400
AI/ML Specialist,Mid,30000
Data Analyst,Senior,5760
AI/ML Specialist,Mid,4320
Data Scientist,Mid,18000
Trainer,Mid,4320
Software Developer,Mid,3600
Trainer,Mid,4320
Software Developer,Mid,3600
Software Developer,Intern,1440
Software Developer,Junior,14400
Machine Learning Engineer,Mid,8640
Software Developer,Mid,18000
Software Developer,Mid,18000
Engineer,Mid,7200
Data Analyst,Mid,3600
Software Developer,Mid,2160
Data Analyst,Mid,1728
Software Developer,Mid,7200
Software Developer,Mid,18000
QA Engineer,Mid,14400
AI/ML Specialist,Mid,2160
QA Engineer,Mid,18000
Engineer,Senior,72000
AI/ML Specialist,Mid,30000
AI/ML Specialist,Mid,4320
Trainer,Mid,4320
Trainer,Senior,8400
AI/ML Specialist,Mid,5760
Machine Learning Engineer,Mid,42000
Machine Learning Engineer,Mid,8640
Data Analyst,Mid,4871
AI/ML Specialist,Mid,21216
Data Analyst,Mid,2400
Trainer,Mid,4032
Software Developer,Mid,18000
Project Manager,Mid,30000
Data Scientist,Intern,1728
Data Scientist,Mid,27600
Data Scientist,Mid,5731
Data Scientist,Mid,10800
Data Scientist,Mid,26400
Trainer,Mid,4320
Data Engineer,Mid,22983
Data Scientist,Mid,20400
Data Engineer,Mid,5760
Data Scientist,Senior,24531
Software Developer,Mid,2880
Data Scientist,Senior,22800
Software Developer,Mid,14400
Software Developer,Mid,5040
Data Scientist,Mid,24000
Trainer,Senior,8400
Data Engineer,Mid,3600
Data Analyst,Senior,14640
Analyst,Senior,13200
Software Developer,Mid,9600
Data Analyst,Mid,12480
QA Engineer,Mid,9600
Data Analyst,Senior,14640
Data Engineer,Mid,14640
Data Engineer,Mid,14640
Software Developer,Mid,18000
Software Developer,Mid,5760
Data Engineer,Mid,7200
Project Manager,Senior,14996
QA Engineer,Senior,9600
Data Engineer,Junior,8400
Data Scientist,Mid,21421
Data Scientist,Mid,26400
Trainer,Mid,49920
Data Analyst,Mid,3600
Data Analyst,Mid,2160
Data Scientist,Intern,2160
Data Scientist,Mid,12000
Data Analyst,Mid,2592
Data Scientist,Junior,14400
Data Scientist,Mid,7200
Data Scientist,Mid,12240
Data Analyst,Mid,18000
Data Scientist,Mid,26400
Data Analyst,Mid,12000
Data Analyst,Mid,10200
Data Scientist,Mid,12000
Trainer,Mid,10800
Data Analyst,Mid,2592
Data Scientist,Junior,3600
Data Scientist,Junior,4200
Data Scientist,Mid,26400
Trainer,Mid,2880
Data Scientist,Mid,20745
Data Scientist,Mid,20745
Data Analyst,Mid,14400
Software Developer,Mid,7200
Project Manager,Senior,14996
Data Scientist,Mid,24000
Data Analyst,Mid,18000
Data Scientist,Mid,30000
Data Scientist,Mid,30000
Data Scientist,Junior,14400
Data Engineer,Mid,24000
Data Engineer,Mid,14400
Data Scientist,Mid,18000
Data Scientist,Mid,18000
Data Scientist,Junior,28800
Data Scientist,Senior,21600
Data Scientist,Mid,27600
Data Analyst,Mid,10500
Data Scientist,Junior,9600
Data Scientist,Intern,2160
Data Scientist,Intern,2880
Data Analyst,Mid,28800
Data Scientist,Mid,12000
Data Scientist,Mid,7200
Data Analyst,Mid,21600
Data Scientist,Mid,12000
Data Scientist,Mid,10980
Data Scientist,Senior,22800
Data Scientist,Mid,18000
Data Scientist,Mid,4032
Data Engineer,Mid,10080
Machine Learning Engineer,Mid,24000
Data Scientist,Intern,2160
Data Scientist,Mid,10080
Trainer,Mid,4992
Data Scientist,Mid,5760
Data Scientist,Mid,18000
Machine Learning Engineer,Mid,9540
Project Manager,Senior,22898
Data Engineer,Mid,3600
Data Scientist,Mid,9600
Data Scientist,Intern,2880
Project Manager,Senior,11520
Trainer,Mid,4992
Software Developer,Intern,3600
Data Analyst,Mid,10500
Data Analyst,Mid,14400
Data Analyst,Mid,8700
Data Analyst,Mid,9600
Project Manager,Senior,12000
Data Engineer,Senior,54000
Trainer,Mid,3600
Data Analyst,Mid,4871
Data Scientist,Mid,24000
Data Engineer,Mid,14400
Trainer,Mid,2592
Software Developer,Junior,4745
Scientific Research,Mid,14400
Data Analyst,Junior,2160
Software Developer,Mid,12000
Scientific Research,Mid,14400
Data Analyst,Junior,2160
Software Developer,Mid,12000
Scientific Research,Mid,7800
Scientific Research,Junior,3168
Software Developer,Intern,2880
Software Developer,Mid,4320
QA Engineer,Mid,4320
Engineer,Mid,7200
Analyst,Mid,18267
Data Analyst,Mid,4871
QA Engineer,Mid,5760
Data Scientist,Junior,18000
Trainer,Mid,2880
Trainer,Mid,7200
Product Manager,Senior,30000
Trainer,Mid,5040
Product Manager,Senior,30000
Trainer,Mid,5040
Data Scientist,Junior,28800
Engineer,Mid,7800
Software Developer,Mid,4320
Engineer,Mid,3600
QA Engineer,Senior,6480
Software Developer,Mid,30000
Project Manager,Senior,19200
Software Developer,Mid,7200
Data Analyst,Mid,8640
Product Manager,Junior,18000
Data Analyst,Mid,2880
Product Manager,Senior,36000
Software Developer,Mid,18000
Software Developer,Junior,6000
QA Engineer,Mid,10800
Data Analyst,Mid,3600
Software Developer,Mid,4320
Software Developer,Mid,4200
Data Analyst,Mid,4560
Other,Mid,9600
Other,Mid,9600
Other,Mid,1008
