Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,Gender,Area,Personal Loan,Loan Size
26,2,60,2,3,Undergrad,132,0,0,0,Male,Alameda,1,15
26,0,83,3,3.9,Postgrad,0,0,0,1,Female,Ventura,1,30
26,0,129,3,0.7,Postgrad,0,0,0,0,Male,Los Angeles,1,33
26,0,132,3,6.5,Professional,0,0,0,0,Female,Orange,1,40
26,2,132,2,2.4,Professional,0,0,0,0,Male,Alameda,1,35
26,1,164,2,4,Professional,301,0,0,1,Male,Butte,1,24
26,2,171,3,6,Postgrad,0,0,0,1,Female,Monterey,1,46
26,2,172,2,6.9,Postgrad,0,0,0,1,Female,Alameda,1,50
26,2,179,4,2.1,Postgrad,0,0,0,0,Male,San Diego,1,42
26,2,182,2,3.2,Postgrad,0,0,0,0,Female,Ventura,1,46
26,1,184,2,4.2,Professional,577,0,1,1,Male,Alameda,1,34
26,1,190,4,1.3,Postgrad,197,0,0,1,Female,Los Angeles,1,25
26,3,195,3,6.3,Professional,0,1,1,1,Male,San Diego,1,49
27,1,99,1,3,Professional,149,0,0,0,Female,Santa Clara,1,15
27,3,105,1,3,Postgrad,0,1,0,0,Male,Santa Clara,1,33
27,3,118,1,3.3,Postgrad,0,0,0,1,Female,Yolo,1,26
27,1,130,3,2.9,Postgrad,0,0,0,0,Female,Contra Costa,1,33
27,2,130,3,4.4,Undergrad,192,0,0,1,Male,San Diego,1,31
27,1,134,1,1.7,Postgrad,307,0,0,1,Female,Santa Barbara,1,21
27,3,135,3,2.7,Professional,449,0,0,0,Female,Santa Barbara,1,20
27,1,140,1,5.9,Postgrad,175,1,1,1,Female,Los Angeles,1,27
27,1,141,4,5.1,Professional,354,0,0,0,Female,Santa Clara,1,34
27,1,142,3,5.5,Undergrad,0,0,0,0,Female,San Diego,1,47
27,2,158,3,0.4,Postgrad,0,0,1,1,Female,Santa Cruz,1,35
27,2,170,3,4.7,Undergrad,0,0,0,1,Female,Sacramento,1,45
28,3,71,1,3.3,Postgrad,149,1,1,1,Female,Los Angeles,1,15
28,3,115,4,3.1,Postgrad,0,0,0,0,Female,San Bernardino,1,34
28,3,118,3,2.4,Postgrad,161,0,0,0,Male,San Diego,1,25
28,4,155,4,5.3,Postgrad,0,0,0,1,Male,San Diego,1,50
28,3,161,4,1.7,Professional,422,0,1,1,Male,Orange,1,23
28,3,170,1,0.1,Professional,0,0,0,0,Male,Santa Clara,1,39
28,2,182,3,7.2,Postgrad,442,0,1,1,Female,Orange,1,38
28,3,193,3,4,Postgrad,0,0,0,1,Female,Alameda,1,50
29,3,91,1,3.4,Professional,0,0,0,0,Female,San Francisco,1,21
29,3,103,4,3.4,Undergrad,0,0,0,1,Male,Los Angeles,1,32
29,4,110,4,2.5,Professional,0,0,0,0,Male,San Diego,1,37
29,4,120,1,4.1,Postgrad,0,1,1,0,Male,Contra Costa,1,37
29,5,122,4,3,Undergrad,0,0,0,0,Male,Santa Clara,1,39
29,3,123,3,5.6,Professional,428,0,0,1,Female,Orange,1,26
29,5,128,2,4.1,Postgrad,209,0,0,1,Female,Los Angeles,1,25
29,4,134,4,6.5,Professional,0,0,0,0,Male,Sacramento,1,50
29,3,148,3,4.1,Undergrad,0,0,0,1,Female,San Diego,1,44
29,3,172,4,4.4,Undergrad,0,0,0,0,Male,San Diego,1,50
29,3,175,3,3.3,Professional,329,0,0,1,Male,Los Angeles,1,25
29,4,182,1,3.7,Professional,0,0,0,1,Female,Stanislaus,1,42
29,4,183,3,8.3,Professional,0,0,0,1,Male,Los Angeles,1,50
29,4,184,4,2.2,Professional,612,0,0,1,Female,San Diego,1,29
30,4,73,3,3.3,Undergrad,0,0,1,1,Male,Santa Clara,1,22
30,6,95,1,3.9,Professional,146,0,0,0,Male,Sacramento,1,16
30,5,112,4,5,Postgrad,0,0,0,0,Male,Los Angeles,1,38
30,6,115,4,3.8,Postgrad,0,0,0,1,Male,Alameda,1,35
30,5,118,4,3,Professional,0,0,0,1,Female,San Diego,1,39
30,6,118,2,2.8,Postgrad,0,0,0,0,Male,Solano,1,29
30,5,125,4,0.5,Professional,0,0,1,1,Female,Los Angeles,1,30
30,5,131,3,0.5,Professional,0,0,0,0,Female,San Diego,1,28
30,4,142,3,4.2,Undergrad,359,0,0,0,Female,San Diego,1,28
30,3,150,4,5,Postgrad,0,0,0,1,Male,Santa Clara,1,47
30,5,171,2,1.9,Postgrad,0,0,0,0,Male,San Mateo,1,41
30,3,172,3,3.4,Postgrad,0,0,0,0,Female,Los Angeles,1,42
30,6,179,3,4.9,Undergrad,142,0,0,1,Male,Los Angeles,1,35
30,6,181,3,4.1,Postgrad,0,0,1,1,Female,Alameda,1,44
30,6,182,4,0.8,Professional,94,0,0,1,Female,Kern,1,47
30,6,191,2,4.4,Postgrad,0,0,0,1,Female,San Diego,1,50
30,6,193,3,6.3,Professional,0,0,0,1,Female,Santa Clara,1,50
31,5,93,2,3.1,Postgrad,0,0,0,1,Male,Santa Clara,1,25
31,5,129,3,5.9,Professional,319,1,1,0,Male,Sacramento,1,29
31,6,133,1,1.5,Professional,0,0,0,0,Female,Placer,1,28
31,7,135,4,3.8,Postgrad,0,0,1,1,Male,Marin,1,46
31,5,180,1,2.9,Professional,144,1,0,0,Male,Alameda,1,19
31,5,184,4,3.4,Postgrad,0,0,1,1,Female,San Diego,1,49
31,7,192,1,0,Postgrad,0,0,0,1,Female,Los Angeles,1,39
32,7,81,2,3.4,Postgrad,0,0,0,0,Female,Los Angeles,1,23
32,7,98,1,4.2,Undergrad,171,1,1,0,Female,Butte,1,23
32,8,104,2,3.7,Undergrad,0,0,0,0,Male,Santa Clara,1,26
32,8,119,4,5,Professional,0,0,0,1,Female,Alameda,1,43
32,6,120,4,5.4,Undergrad,301,0,1,1,Male,San Francisco,1,23
32,7,123,2,2.9,Postgrad,0,0,0,1,Male,San Bernardino,1,31
32,7,129,4,5.2,Postgrad,0,0,0,0,Female,Alameda,1,39
32,7,132,4,1.1,Postgrad,412,0,0,1,Male,Los Angeles,1,25
32,8,140,4,6.6,Professional,0,0,1,0,Male,San Francisco,1,43
32,8,142,4,6.2,Postgrad,120,0,1,1,Male,Los Angeles,1,28
32,7,143,3,2.9,Professional,0,0,0,1,Female,Los Angeles,1,43
32,8,169,1,6.5,Professional,272,1,1,1,Female,Contra Costa,1,33
33,7,104,2,3.6,Professional,0,0,0,0,Female,Alameda,1,29
33,8,115,4,2.9,Postgrad,0,0,0,1,Male,Los Angeles,1,36
33,7,120,1,3.2,Professional,0,0,0,1,Male,Santa Clara,1,32
33,8,120,2,4.2,Professional,76,0,0,0,Male,Orange,1,35
33,9,125,1,4.3,Professional,0,0,0,1,Male,San Diego,1,36
33,8,130,3,6.3,Postgrad,99,0,0,0,Male,Alameda,1,44
33,9,131,3,2.2,Professional,0,1,0,0,Female,Los Angeles,1,40
33,7,139,1,4,Professional,106,0,1,1,Female,Sacramento,1,18
33,8,145,1,2.7,Professional,0,0,0,1,Male,Riverside,1,33
33,6,168,3,5.7,Postgrad,0,1,1,1,Female,Alameda,1,50
33,8,178,3,8.5,Undergrad,0,1,1,1,Female,Alameda,1,50
33,9,183,2,8.8,Professional,582,0,0,1,Female,Ventura,1,38
33,9,184,2,4.8,Postgrad,0,0,0,0,Female,Santa Clara,1,50
33,7,188,2,7,Postgrad,581,0,0,0,Male,Santa Clara,1,36
34,8,65,1,3,Undergrad,227,0,0,1,Male,San Diego,1,11
34,10,114,3,3.3,Professional,0,0,0,0,Male,Santa Clara,1,31
34,9,123,1,1.6,Postgrad,0,0,0,1,Male,Contra Costa,1,24
34,9,141,2,4.9,Professional,0,0,0,0,Male,Yolo,1,35
34,9,141,3,6.9,Postgrad,260,0,0,1,Female,San Diego,1,38
34,10,154,3,5.4,Postgrad,0,0,0,1,Male,Contra Costa,1,44
34,9,160,4,8,Professional,0,0,0,0,Female,San Francisco,1,50
34,8,164,4,7.4,Professional,0,0,0,1,Female,Alameda,1,50
34,9,164,1,6,Professional,0,0,0,1,Male,Alameda,1,40
34,8,165,1,7,Professional,541,0,0,0,Male,Los Angeles,1,30
34,8,171,2,2.2,Postgrad,569,0,0,1,Male,Los Angeles,1,27
34,8,175,4,1.1,Professional,0,1,1,1,Female,Santa Clara,1,50
34,9,178,1,0.8,Professional,0,0,0,0,Male,Santa Clara,1,41
34,9,180,2,6.5,Professional,0,0,1,1,Female,Monterey,1,50
34,9,180,1,8.9,Professional,0,0,0,0,Female,Ventura,1,50
34,8,184,3,7.5,Undergrad,0,0,0,0,Male,Santa Barbara,1,50
34,8,188,1,2.9,Professional,0,0,0,1,Female,San Mateo,1,41
34,9,191,1,4.8,Professional,0,0,1,1,Female,Santa Clara,1,45
35,11,101,3,3.8,Professional,150,0,0,1,Male,San Francisco,1,26
35,5,108,2,2.8,Professional,0,1,0,0,Female,Orange,1,32
35,9,109,3,4,Undergrad,0,0,0,0,Male,Los Angeles,1,33
35,9,113,3,0.8,Professional,0,0,0,1,Female,Contra Costa,1,29
35,9,131,3,0.3,Professional,0,0,1,1,Female,Los Angeles,1,33
35,10,135,3,4.8,Postgrad,0,0,0,1,Male,Contra Costa,1,35
35,9,141,2,4.5,Postgrad,0,0,0,0,Male,Ventura,1,36
35,10,142,4,0.8,Professional,0,0,0,0,Male,San Mateo,1,35
35,11,148,1,5.8,Professional,0,0,0,1,Female,Orange,1,44
35,11,160,4,5.7,Professional,0,1,0,0,Male,San Diego,1,50
35,11,180,1,3.6,Professional,571,0,1,1,Female,San Mateo,1,28
35,10,182,1,0.3,Postgrad,229,0,1,1,Male,Santa Clara,1,19
35,9,188,2,3.7,Postgrad,259,0,0,1,Male,Riverside,1,23
35,11,188,1,0.9,Professional,282,0,0,1,Male,Contra Costa,1,20
35,11,190,3,3.1,Postgrad,266,0,0,0,Female,San Diego,1,30
35,5,203,1,10,Professional,0,0,0,0,Female,Santa Clara,1,50
36,12,69,3,3.1,Postgrad,0,0,0,1,Female,Santa Clara,1,26
36,12,109,3,0.5,Professional,0,1,1,1,Female,Sonoma,1,28
36,12,113,4,0.2,Undergrad,0,0,0,0,Female,Santa Clara,1,35
36,9,115,4,2.2,Postgrad,0,0,0,0,Female,Los Angeles,1,37
36,12,123,2,5.6,Postgrad,0,0,1,1,Male,Santa Cruz,1,28
36,12,123,2,3,Professional,0,0,0,0,Male,Los Angeles,1,36
36,6,138,1,7,Professional,86,0,0,1,Female,San Diego,1,40
36,12,142,3,2.3,Postgrad,0,0,1,1,Male,Los Angeles,1,33
36,12,150,4,5.4,Undergrad,0,1,1,1,Male,Santa Clara,1,50
36,12,154,3,6.4,Undergrad,0,1,0,0,Female,Ventura,1,50
36,11,158,1,5.1,Professional,0,0,1,1,Female,San Diego,1,40
36,10,172,4,1,Postgrad,295,0,0,1,Male,Alameda,1,32
36,10,179,3,6.6,Undergrad,0,0,0,1,Female,Alameda,1,50
36,11,181,3,1.4,Undergrad,0,0,0,0,Female,Santa Clara,1,46
36,11,183,1,3,Professional,0,0,1,1,Male,Alameda,1,41
36,11,184,2,5.1,Postgrad,0,0,0,0,Female,Los Angeles,1,44
37,11,123,1,2.3,Postgrad,0,1,1,1,Female,Alameda,1,28
37,12,123,4,3.1,Postgrad,253,0,1,1,Female,Santa Clara,1,21
37,11,139,2,0.8,Postgrad,421,0,0,1,Male,Sacramento,1,24
37,13,158,2,2.3,Postgrad,0,0,1,1,Male,Monterey,1,35
37,12,169,2,5.2,Professional,249,0,0,1,Female,Los Angeles,1,28
37,12,182,3,5.8,Professional,0,0,0,1,Male,Contra Costa,1,46
37,11,190,4,7.3,Postgrad,565,0,1,1,Female,Santa Clara,1,35
37,12,194,4,0.2,Professional,211,1,1,1,Male,Los Angeles,1,29
38,13,113,4,1.7,Postgrad,0,0,0,0,Female,Alameda,1,36
38,13,119,1,3.3,Postgrad,0,0,1,1,Female,San Francisco,1,33
38,13,129,4,0.3,Professional,75,0,0,1,Male,San Diego,1,37
38,13,129,4,4.4,Undergrad,140,0,0,0,Male,San Diego,1,25
38,14,130,4,4.7,Professional,134,0,0,0,Male,Santa Cruz,1,28
38,13,140,4,0.5,Undergrad,0,0,0,0,Female,Los Angeles,1,32
38,13,168,2,1.3,Professional,0,0,0,0,Female,Orange,1,37
38,13,169,1,6.8,Professional,0,0,1,1,Female,San Diego,1,43
38,12,180,1,2.8,Professional,158,0,0,1,Male,Los Angeles,1,28
38,14,182,3,2.6,Professional,0,0,1,1,Male,San Diego,1,49
38,12,184,3,8,Undergrad,0,0,0,1,Female,Los Angeles,1,50
39,13,93,4,3.6,Professional,0,0,0,1,Male,Kern,1,29
39,9,118,2,6,Professional,246,0,1,1,Female,Kern,1,21
39,12,138,1,4.7,Postgrad,0,0,0,1,Male,Orange,1,32
39,13,139,3,3.4,Undergrad,483,0,0,1,Female,Yolo,1,30
39,14,141,4,6.3,Undergrad,0,1,1,1,Female,Kern,1,47
40,16,89,3,3.9,Postgrad,216,1,1,1,Female,Sacramento,1,21
40,16,119,2,4.2,Postgrad,0,0,0,1,Male,Los Angeles,1,27
40,14,129,1,5.9,Professional,0,0,0,1,Female,Los Angeles,1,41
40,16,140,3,5.6,Undergrad,0,0,0,0,Male,Monterey,1,36
40,16,155,4,0.1,Professional,0,0,1,1,Male,San Mateo,1,30
40,14,164,1,4.3,Postgrad,0,0,0,0,Female,Alameda,1,40
40,14,179,1,2.6,Professional,0,0,0,1,Female,Los Angeles,1,42
41,17,94,3,3.8,Postgrad,327,1,1,1,Male,Los Angeles,1,14
41,16,114,4,3.5,Undergrad,0,0,0,0,Female,Alameda,1,30
41,17,138,3,6.9,Postgrad,0,0,0,1,Female,Santa Clara,1,44
41,17,143,2,2.7,Professional,209,0,0,1,Male,Los Angeles,1,16
41,15,158,1,4.7,Postgrad,0,1,1,0,Female,Santa Clara,1,42
41,15,159,1,5.5,Professional,0,0,1,1,Male,Los Angeles,1,44
41,16,175,2,1.1,Professional,0,0,0,1,Male,Santa Clara,1,42
41,15,185,1,3.6,Postgrad,0,0,0,0,Female,Los Angeles,1,43
42,18,103,1,3.3,Undergrad,0,1,1,1,Female,Los Angeles,1,28
42,16,111,2,1.2,Professional,251,0,0,1,Male,Santa Barbara,1,15
42,17,111,3,3,Undergrad,0,1,1,0,Male,Santa Clara,1,33
42,17,139,2,2.9,Professional,0,0,0,1,Male,Los Angeles,1,39
42,16,141,3,4,Postgrad,0,0,0,0,Female,Marin,1,37
42,18,141,3,5,Professional,0,1,1,1,Female,San Francisco,1,40
42,18,153,3,5.6,Undergrad,416,0,0,0,Male,Monterey,1,25
42,17,154,3,4.9,Undergrad,0,0,1,1,Male,Monterey,1,36
42,18,158,2,0.4,Postgrad,277,0,0,0,Male,San Diego,1,14
42,18,164,1,1.3,Professional,0,1,1,1,Male,San Luis Obispo,1,34
42,17,168,2,7.9,Postgrad,0,0,0,1,Female,Humboldt,1,47
42,16,173,2,1.5,Postgrad,373,0,1,1,Female,Los Angeles,1,24
42,16,185,3,2.2,Postgrad,0,1,1,1,Female,Alameda,1,42
42,16,191,3,4.8,Postgrad,0,1,1,1,Male,Santa Clara,1,45
43,17,64,4,3,Professional,221,0,0,1,Female,Santa Clara,1,20
43,19,83,4,3.6,Professional,0,0,0,0,Female,Santa Clara,1,26
43,17,111,4,5.4,Professional,0,0,0,1,Male,Los Angeles,1,30
43,19,123,3,1.3,Undergrad,0,0,0,1,Male,Los Angeles,1,31
43,17,125,4,3.5,Postgrad,0,0,0,0,Female,Alameda,1,33
43,19,125,3,2.4,Undergrad,0,0,0,1,Male,San Diego,1,33
43,18,128,4,5.3,Undergrad,84,0,0,0,Male,San Diego,1,41
43,19,130,2,4.7,Professional,221,0,0,0,Female,Orange,1,24
43,19,152,3,6.1,Postgrad,0,0,0,0,Male,San Diego,1,39
43,16,161,3,8,Postgrad,0,0,1,1,Male,Santa Clara,1,43
43,19,170,4,4.3,Undergrad,318,0,1,1,Male,San Diego,1,24
43,19,174,3,1.7,Professional,231,0,1,1,Male,San Diego,1,23
43,18,179,3,1.2,Undergrad,0,1,1,1,Male,San Francisco,1,41
43,16,201,1,10,Postgrad,0,0,0,0,Female,Santa Clara,1,50
44,18,75,2,3.5,Undergrad,0,0,0,1,Female,Los Angeles,1,20
44,19,99,3,3.5,Professional,357,0,0,0,Female,Santa Cruz,1,22
44,20,111,2,5.3,Postgrad,0,0,0,1,Male,San Diego,1,31
44,18,123,3,5.9,Undergrad,0,0,1,1,Female,Sacramento,1,39
44,17,128,2,3.3,Postgrad,0,0,0,0,Male,Sonoma,1,32
44,20,130,4,3.2,Postgrad,0,0,0,0,Male,Los Angeles,1,36
44,20,131,1,4.9,Professional,0,0,0,1,Male,Los Angeles,1,34
44,20,132,3,2.6,Undergrad,308,0,0,0,Male,San Francisco,1,20
44,19,142,1,1.5,Professional,0,0,0,0,Female,Santa Clara,1,33
44,18,162,4,1.3,Undergrad,301,0,0,0,Male,Los Angeles,1,18
44,20,171,4,0.7,Undergrad,567,0,1,1,Female,Los Angeles,1,24
44,19,172,2,4.3,Professional,391,1,1,1,Female,Santa Clara,1,26
44,20,185,3,2.7,Undergrad,0,0,0,1,Female,Santa Clara,1,46
45,21,102,4,4.7,Postgrad,81,0,0,0,Male,San Diego,1,36
45,20,114,2,4.4,Postgrad,0,0,0,0,Female,Alameda,1,28
45,19,122,4,4.1,Postgrad,0,0,0,1,Female,Solano,1,35
45,19,128,4,6,Professional,0,0,0,1,Male,Sonoma,1,36
45,21,132,3,1.2,Postgrad,0,0,1,1,Male,Los Angeles,1,36
45,21,133,4,5.7,Professional,0,0,1,1,Female,San Diego,1,40
45,21,134,4,5.5,Postgrad,0,0,1,1,Female,Orange,1,35
45,21,142,1,1.4,Postgrad,0,0,0,1,Female,Los Angeles,1,35
45,20,144,4,5.4,Undergrad,210,0,0,1,Male,San Diego,1,25
45,18,163,3,5.3,Postgrad,0,0,1,0,Male,Alameda,1,41
45,20,180,3,8.5,Postgrad,535,0,0,0,Male,Sonoma,1,35
45,20,191,3,2.6,Professional,123,0,0,0,Male,San Diego,1,22
45,15,202,3,10,Professional,0,0,0,0,Male,Los Angeles,1,50
46,22,102,3,4.5,Professional,0,0,0,1,Male,Monterey,1,28
46,20,103,4,4.8,Professional,0,0,0,1,Female,Los Angeles,1,32
46,20,105,4,3.2,Undergrad,0,0,0,0,Male,Los Angeles,1,27
46,21,115,2,4.2,Professional,0,1,1,1,Female,Yolo,1,30
46,22,125,2,4.7,Professional,0,0,0,1,Male,Alameda,1,32
46,22,135,3,4.1,Undergrad,213,0,0,1,Female,Santa Clara,1,20
46,20,152,1,7.4,Professional,374,0,1,1,Male,Sacramento,1,22
46,20,158,3,5.4,Undergrad,432,0,0,0,Male,Orange,1,24
46,21,159,3,1.9,Professional,315,0,0,1,Female,Santa Clara,1,25
46,22,183,1,3.1,Postgrad,0,0,1,1,Male,Los Angeles,1,45
46,20,185,4,7.5,Postgrad,428,0,0,0,Female,San Francisco,1,31
46,21,193,2,8.1,Professional,0,0,0,0,Female,Los Angeles,1,50
47,20,74,2,0.3,Professional,305,0,0,1,Female,Orange,1,9
47,21,83,1,3.8,Undergrad,97,0,0,0,Male,Riverside,1,28
47,22,95,2,3.9,Postgrad,0,0,0,0,Female,Kern,1,22
47,21,109,4,1.8,Undergrad,0,0,0,0,Male,Sacramento,1,25
47,22,122,1,5.1,Professional,163,1,0,0,Female,Los Angeles,1,20
47,22,124,4,5,Professional,0,0,0,0,Female,Los Angeles,1,38
47,23,149,4,6.1,Undergrad,0,0,0,0,Male,Orange,1,41
47,23,170,2,6.5,Postgrad,0,0,1,1,Female,Los Angeles,1,50
47,21,174,4,3.2,Professional,0,0,0,0,Female,San Mateo,1,46
47,23,178,1,6.5,Professional,0,0,0,0,Female,Santa Barbara,1,45
48,23,84,4,3.1,Postgrad,0,1,1,1,Female,San Mateo,1,26
48,23,112,1,5.1,Postgrad,86,1,1,1,Female,Santa Barbara,1,27
48,22,114,1,2.4,Professional,0,0,0,1,Female,San Diego,1,22
48,22,133,2,3.1,Postgrad,0,0,0,1,Male,Los Angeles,1,36
48,24,144,4,3.5,Postgrad,0,0,0,0,Male,San Mateo,1,33
48,22,149,2,5.5,Postgrad,0,1,1,1,Female,Sonoma,1,40
48,22,152,1,3.5,Professional,0,0,0,1,Male,Santa Clara,1,34
48,23,161,4,7.9,Professional,310,0,0,0,Female,Shasta,1,30
48,22,162,3,1.4,Undergrad,400,0,0,0,Female,San Francisco,1,22
48,24,162,4,3.3,Postgrad,446,0,1,1,Female,Los Angeles,1,24
48,23,173,3,0.2,Undergrad,0,0,1,1,Female,Alameda,1,43
48,18,182,4,6,Professional,0,0,0,1,Male,Orange,1,46
49,25,114,1,2.5,Professional,0,0,0,1,Male,Los Angeles,1,31
49,23,115,3,4.6,Professional,0,0,0,0,Male,Santa Clara,1,32
49,24,130,4,1.1,Undergrad,281,0,1,1,Female,Orange,1,24
49,24,138,2,2.2,Postgrad,0,0,0,1,Female,Santa Barbara,1,29
49,23,140,1,1.9,Professional,0,0,0,0,Female,Los Angeles,1,36
49,25,161,3,6.5,Postgrad,485,1,1,0,Male,Sonoma,1,27
49,19,169,3,5.7,Professional,167,0,1,0,Female,Santa Clara,1,31
49,23,174,3,4.6,Postgrad,590,0,0,0,Male,Mendocino,1,25
49,23,194,4,8.3,Postgrad,0,0,0,0,Female,Santa Clara,1,50
49,25,195,4,3,Undergrad,617,0,0,0,Male,Yolo,1,25
50,25,83,4,3.1,Undergrad,0,0,0,0,Female,Alameda,1,30
50,25,99,1,4.6,Undergrad,368,1,1,0,Female,Los Angeles,1,23
50,26,115,1,1.2,Professional,0,0,0,0,Male,Santa Clara,1,21
50,25,130,1,1.1,Postgrad,0,0,0,1,Female,Alameda,1,31
50,24,133,4,1.4,Postgrad,342,0,0,0,Male,Los Angeles,1,19
50,26,135,2,4.6,Professional,91,0,0,1,Female,San Diego,1,41
50,25,160,4,4.3,Professional,410,0,0,0,Female,Santa Barbara,1,30
50,24,161,3,3.4,Undergrad,212,0,0,1,Male,Santa Clara,1,29
50,23,179,4,3.6,Postgrad,0,0,0,1,Male,Alameda,1,48
50,26,179,1,2.9,Professional,0,0,0,0,Male,Orange,1,41
50,24,188,3,1.3,Undergrad,184,0,0,0,Female,San Diego,1,29
50,26,190,3,2.1,Professional,240,0,0,1,Female,Los Angeles,1,20
50,26,192,2,1.8,Professional,301,0,1,1,Male,Los Angeles,1,20
51,27,92,4,3,Undergrad,0,0,1,1,Female,San Diego,1,27
51,25,104,1,4.2,Postgrad,0,0,0,1,Male,Marin,1,26
51,26,134,4,4.5,Professional,0,1,1,1,Female,Los Angeles,1,35
51,25,163,2,1.3,Professional,0,0,0,1,Male,Santa Clara,1,32
51,25,173,1,0.5,Postgrad,0,0,0,1,Female,Santa Clara,1,36
51,25,175,3,0.7,Undergrad,312,0,0,0,Female,Los Angeles,1,25
51,25,181,1,3.3,Professional,589,1,1,1,Male,Santa Clara,1,29
51,27,188,2,6.9,Postgrad,343,0,0,1,Male,Santa Clara,1,26
51,24,189,4,4.8,Postgrad,0,0,0,1,Male,San Joaquin,1,48
51,25,190,2,4.2,Postgrad,0,0,0,1,Female,Santa Clara,1,42
52,26,83,1,3.1,Undergrad,0,0,0,1,Female,Riverside,1,25
52,27,85,3,3.4,Professional,0,0,0,0,Male,San Diego,1,25
52,26,91,1,4.3,Postgrad,0,0,1,1,Male,San Diego,1,26
52,27,93,4,4.1,Postgrad,0,0,0,0,Male,Los Angeles,1,24
52,26,110,2,5.4,Professional,204,1,1,1,Male,Alameda,1,19
52,22,154,1,5,Professional,0,1,1,1,Female,Los Angeles,1,34
52,26,155,3,7.2,Postgrad,0,0,0,1,Female,Orange,1,50
52,26,158,2,3.7,Professional,251,0,0,0,Female,Marin,1,21
52,26,161,4,4.3,Undergrad,0,0,1,1,Female,Santa Barbara,1,39
