,dam_stats_key,t_date,month_year,t_month,t_year,dam_name,dam_class,total_dam_capacity_ML,height_m,storage_ml,percentage_capacity
0,db1b17a4-20ba-45ef-8bb5-d4dc547ad4c7,2012-01-01,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.64,99.9,74.55
1,adb6671f-e2fb-492f-bb27-01eed55e0917,2012-01-02,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.61,99.2,74.03
2,055414c2-44ad-465d-aa3a-da73857fab2c,2012-01-03,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.59,98.7,73.66
3,40fbc6ab-3edc-492b-94e2-bf699bb15af9,2012-01-04,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.61,99.2,74.03
4,444657b5-d276-48ec-9a34-2246213b9d4c,2012-01-05,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.6,98.9,73.81
5,24c4de8c-fd4d-4389-b8e9-216c86c2c2e0,2012-01-06,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.58,98.5,73.51
6,9ff206d5-e3b2-4905-a657-8529c70f17b4,2012-01-07,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.55,97.7,72.91
7,2da079d3-f8af-4181-ae35-a412d1f7e807,2012-01-08,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.53,97.3,72.61
8,be5b4e1a-7873-4809-b0c3-431bd4b30b7f,2012-01-09,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.51,96.8,72.24
9,0dfaa4c2-d516-41f6-8a91-4b11fccce8b3,2012-01-10,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.47,95.8,71.49
10,44cae816-a301-42ff-b698-b79189a1f3b8,2012-01-11,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.45,95.4,71.19
11,6fd7a61d-d926-4ea1-9a3f-cfddab15aaba,2012-01-12,January 2012,1,2012,ALEXANDRA,Minor Dam,134.0,10.44,95.1,70.97
